Name,v_x(km/s),v_z(km/s),v_phi(km/s)
BPS CS 30306-132,-137.1105803,-5.627319206,-158.2895659
2MASS J15155734-1054220,197.6106476,-13.79677108,-111.2123902
2MASS J15204531-1742486,-145.7344136,-77.33619794,-94.58407203
2MASS J15211026-0607566,104.163637,-149.4876689,108.8909536
2MASS J15213995-3538094,112.5185336,224.9525694,-327.2657955
2MASS J15260106-0911388,-142.2882258,-140.121047,254.5031308
2MASS J15271353-2336177,-53.65119157,51.01158008,-92.47627357
2MASS J15293404-3906241,-8.629387077,-57.11021253,135.2427458
2MASS J15383085-1804242,57.59239101,95.58773702,59.14816432
SMSS J155430.57-263904.8,53.95542699,-157.3576058,-390.6187172
2MASS J15582962-1224344,50.95631603,102.6189431,-178.606009
2MASS J16024498-1521016,96.84144148,52.59069265,-181.4771948
BD+42:2667,111.0952328,-21.65962986,9.063785118
SMSS J160447.75-293146.7,-74.37317099,209.9669651,40.87049018
2MASS J16095117-0941174,100.2094586,137.7958776,69.40177385
2MASS J16122832-0848083,-32.93242055,49.56612516,-131.3091538
2MASS J16163560-0401148,166.8450007,17.18547095,-131.9446564
2MASS J16285613-1014576,74.74319748,23.14259341,-181.40331
BD+09:3223,219.3235268,2.516825538,-7.456116476
HD 149414,-79.56974322,-120.5831201,-88.78402708
BPS CS 22878-121,-32.63374616,-262.5817443,156.0138982
SMSS J165023.82-252948.7,-189.9137664,-83.26030929,-281.4331355
2MASS J16592172-6827199,22.04787105,166.7296911,194.7036327
2MASS J17043634-6219457,87.77540396,144.7487843,127.3540827
2MASS J17093199-6027271,-180.6771356,-131.6683923,270.1049319
2MASS J17124284-5211479,108.3204733,190.828325,-240.7145198
2MASS J17131974-7113010,63.80061454,-45.96273219,-177.4064231
2MASS J17163340-7009028,28.13708667,-76.87457007,-175.9131873
2MASS J17225742-7123000,3.979428022,229.0821773,238.7472662
BD+17:3248,-41.23417722,62.66274973,-10.56301703
2MASS J17360008-5145303,-163.8467167,-100.1137744,-152.6685171
2MASS J17383643-5358288,-30.3430354,-114.7052078,-123.5527686
2MASS J17400682-6102129,78.12000667,-167.4677085,68.71266967
2MASS J17414840-5340354,-46.69078271,-139.8535939,-97.74493013
2MASS J17435113-5359333,-36.45088597,-130.8457822,-110.8930998
2MASS J17541561-5148268,177.9093001,-103.5832234,-28.52360365
G 154-34,-128.505352,-147.8333793,26.15609883
SMSS J175738.37-454823.5,5.071057007,-73.95709838,-163.9200157
2MASS J18024226-4404426,-285.4831199,102.6564942,52.82975115
2MASS J18050641-4907579,162.5335821,-14.89371053,-72.87316873
2MASS J18272347-5133001,-166.4118141,-89.94162289,-43.92209974
2MASS J18285086-3434203,24.42926413,-38.26013134,-62.8869746
2MASS J18294122-4504000,-117.6173934,-81.70212533,-154.6023352
RAVE J183013.5-455510,45.54996199,-130.2408811,-199.5351513
SMSS J183128.71-341018.4,59.49415503,-116.0243789,-219.8976469
2MASS J18362318-6428124,-8.814703603,-65.82371516,-184.7785366
2MASS J18363613-7136597,-78.97667396,45.29983888,-190.6602459
SMSS J183647.89-274333.1,-149.3771438,-32.97396624,224.0105931
HD 175305,-57.21749027,-279.2561621,-160.239097
2MASS J18562774-7251331,202.0002036,43.72366447,-24.75772569
2MASS J19014952-4844359,83.86982506,-31.7549916,23.45324392
2MASS J19050116-1949280,150.6370074,-72.67844378,-76.30550061
SMSS J190911.03-213207.5,118.9542981,-8.599675224,18.74664601
2MASS J19092677-5140208,-129.6460637,-110.9139143,214.0254389
SMSS J190931.13-214053.9,7.995630216,-79.10498459,-242.6787694
HD 178443,301.4364319,-129.8041735,15.15399466
HD 179626,108.5935933,50.00316469,-0.258127989
2MASS J19161821-5544454,74.46368192,-2.359252505,-152.1135055
2MASS J19192768-5959140,-313.412947,-65.61085288,91.15302693
2MASS J19215077-4452545,62.71240832,66.49143547,-240.354645
2MASS J19232518-5833410,128.626466,121.2468899,11.51506102
2MASS J19232941-4425432,252.4511717,45.14279469,196.6425429
BPS CS 22896-055,-235.5827264,-118.0468471,-5.778514152
2MASS J19310426-3707397,-57.84075927,-140.3627103,30.08462023
2MASS J19345326-3236567,241.8917839,-58.65790606,-3.13303964
SMSS J193617.38-790231.4,259.5136784,26.73139194,251.433472
BPS CS 22896-154,39.45331227,21.74712637,136.7661433
2MASS J19445483-4039459,126.6596578,31.02788309,131.288313
2MASS J19451414-1729269,174.9712857,-58.82561426,98.32714573
2MASS J19552158-4613569,144.6941111,-10.63370724,39.44273981
2MASS J19563822-4054235,-201.460166,282.7856071,-111.1687319
Gaia DR2 2233912206910720000,-102.6477133,-448.7209025,35.98667225
2MASS J19584033+0430396,17.55127822,432.1583478,94.60960009
SMSS J195931.70-643529.3,136.4724242,-191.8544332,55.43427305
2MASS J20000364-3301351,-73.79901823,-106.3163472,49.25579496
2MASS J20005766-2541488,199.5432528,-54.57731233,-76.86504137
2MASS J20050670-3057445,-204.6398728,19.35438393,156.9597117
2MASS J20080083-2759265,-48.96248506,-52.77408882,29.64205668
2MASS J20093393-3410273,214.6228897,87.46200501,232.5377762
2MASS J20102782-0826556,-251.6249016,-9.224566436,57.90421392
2MASS J20103193-3558546,110.2139139,-113.9074994,-29.02356044
2MASS J20194310-3158163,-150.1496088,-27.42016339,-31.88075176
BPS CS 22943-132,-77.34326093,-123.0201152,-173.9790667
2MASS J20233743-1659533,-4.445723059,98.8590297,17.46910765
2MASS J20374042-5520500,65.33860154,150.7707272,-39.11835602
2MASS J20384318-0023327,169.0200885,-177.5536604,227.0637542
2MASS J20385893-0252115,-127.3780973,0.738476686,-12.44956085
2MASS J20411424-4654315,-128.924879,-39.36571402,-59.627159
BPS CS 22955-174,89.50429354,60.04479295,-116.0302345
2MASS J20435776-4408037,69.98266136,7.99853703,-160.9424318
2MASS J20453454-1431151,-13.46588483,-20.72686586,-75.33980433
2MASS J20492765-5124440,67.81859814,62.05818189,-76.79911244
2MASS J20504869-3355289,-140.4249139,30.48817895,-11.96968774
2MASS J20514971-6158008,-71.32844305,101.4811764,-163.9767235
BPS CS 22940-121,69.63532408,172.0676579,-15.31196488
2MASS J20554594-3155159,-153.7999075,-20.0835498,45.29993009
2MASS J20584918-0354340,35.31046106,46.65208509,4.645916641
2MASS J21003824-0539171,12.4475895,45.12570901,-71.22787444
2MASS J21055865-4919336,-8.727696779,-235.5997547,80.49159985
2MASS J21063474-4957500,-234.1236975,-119.3845356,96.1283955
2MASS J21064294-6828266,-50.54577706,132.8574194,-130.6465742
2MASS J21091825-1310062,66.18313267,-88.00895003,11.00234289
2MASS J21095804-0945400,-43.63713225,-49.72940124,-143.7490074
2MASS J21162185-0213420,41.52982159,12.8732249,-189.8354485
2MASS J21220020-0820333,50.11070088,-8.79421472,-73.25887714
2MASS J21224590-4641030,34.94119913,187.5342546,-80.12682138
BD-03:5215,-151.7628905,97.94654476,11.34210996
HE 2134+0001,23.98178715,-13.29798583,-256.4755851
2MASS J21462219-0512324,-176.6026049,97.40358057,54.99128017
G 214-1,-121.077638,-75.43509378,-110.3172394
BPS CS 22951-059,-28.45712986,-134.7440891,-241.7441031
BPS CS 29493-062,15.55725041,-9.454891657,-228.1980369
HE 2155+0136,-92.21167722,43.30559604,46.60184742
HE 2154-2838,-44.51343601,-122.5754229,107.0182344
HE 2206-2245,-73.70887073,64.85034446,116.1556136
BPS CS 22886-012,-1.891523355,13.29498446,-136.0067542
2MASS J22161170-5319492,129.9925451,51.83649768,-54.39488277
2MASS J22163596+0246171,-46.44217359,-70.87924429,-32.7832949
BPS CS 22892-052,-146.2813991,-168.1900639,-53.57281066
2MASS J22182082-3827554,31.38812103,-286.4562935,-134.1898645
2MASS J22190836-2333467,98.40538416,79.89823474,-138.1383997
2MASS J22220344-8024592,54.76575503,-191.079859,-31.45462787
BPS CS 22886-043,-14.66789012,-7.359590268,-85.6068211
BPS CS 22960-064,-113.7962144,16.77778032,-149.1636
HE 2224+0143,-13.48993607,-3.148421815,-65.72180265
BPS CS 22875-029,-135.4450172,-168.5435368,-90.61072533
BPS CS 29491-069,-161.6135343,277.5812903,193.0164744
HE 2229-4153,19.86088692,187.0339363,38.61242686
2MASS J22345447-6605172,-83.22004365,58.45870655,-154.8603739
2MASS J22373316-4341181,50.27810488,64.93590744,32.60616189
HE 2242-1930,129.3664233,95.24501546,-250.5569814
HE 2244-1503,-62.89979048,-90.70164819,-384.5378183
2MASS J22492756-2238289,-106.7258625,-112.4375894,16.29295527
2MASS J22562536-0719562,132.3791599,22.88809377,-56.67999122
2MASS J23022289-6833233,-48.44120479,-93.74217816,-51.68584267
HE 2301-4024,63.74830902,297.1443907,210.8956815
2MASS J23060975-6107368,-168.2317632,-8.027671775,61.65017773
2MASS J23100319-7702165,-194.0798559,42.69360969,-151.6309497
BPS CS 29513-003,14.17012895,148.934687,69.17125494
BPS CS 22945-017,-80.48993054,-110.3856223,-136.9593618
2MASS J23242766-2728055,52.51844997,117.769071,30.58354481
2MASS J23251897-0815539,-31.39758407,144.3226333,86.44539658
2MASS J23265258-0159248,157.3403693,56.30558336,68.1791224
2MASS J23285061-0432368,87.10148793,-6.386035669,-137.8374118
HD 221170,124.8234258,-30.42161638,-115.8422631
HE 2327-5642,-69.5036676,-230.3171933,83.00987793
BPS CS 22941-017,110.6980681,-80.07592404,-204.9299329
2MASS J23342332-2748003,4.173428894,32.58709928,-20.85444135
2MASS J23362202-5607498,3.448170079,-174.5179589,-36.91492184
BPS CS 22952-015,73.80876814,-74.84616516,-94.30512917
BPS CS 29499-003,202.0507563,97.65214589,-49.17699533
2MASS J23411581-6406440,-144.2007142,-58.43458051,-6.3651884
2MASS J23425814-4327352,138.7755232,-0.912701382,-194.9217948
HD 222925,-240.3310791,67.01546623,32.68006162
2MASS J23475942-5701184,-13.3046057,59.22555769,28.89570146
BPS CS 22966-057,134.7615508,-91.34117359,39.323331
2MASS J23490902-2447176,-358.7945311,96.74389135,-146.3047845
