# Object,[Fe/H],[Zn/Fe]
SAGA_Scl_000074,-1.51,
SAGA_Scl_000074,-1.53,
SAGA_Scl_000074,-1.39,
SAGA_Scl_000075,-1.56,0.32
SAGA_Scl_000075,-1.54,
SAGA_Scl_000075,-1.41,
SAGA_Scl_000076,-1.18,0.06
SAGA_Scl_000076,-1.16,
SAGA_Scl_000076,-1.18,
SAGA_Scl_000077,-1.64,
SAGA_Scl_000077,-1.68,0.28
SAGA_Scl_000077,-1.65,
SAGA_Scl_000077,-1.68,
SAGA_Scl_000077,-1.6,
SAGA_Scl_000078,-1.4,
SAGA_Scl_000078,-1.49,0.26
SAGA_Scl_000078,-1.47,
SAGA_Scl_000078,-1.49,
SAGA_Scl_000078,-1.39,
SAGA_Scl_000079,-1.81,0.1
SAGA_Scl_000079,-1.79,
SAGA_Scl_000079,-1.81,
SAGA_Scl_000080,-1.21,
SAGA_Scl_000080,-1.24,0.76
SAGA_Scl_000080,-1.22,
SAGA_Scl_000080,-1.24,
SAGA_Scl_000080,-1.04,
SAGA_Scl_000082,-1.31,
SAGA_Scl_000082,-1.16,0.12
SAGA_Scl_000082,-1.14,
SAGA_Scl_000082,-1.16,
SAGA_Scl_000082,-1.19,
SAGA_Scl_000084,-1.56,0.64
SAGA_Scl_000084,-1.54,
SAGA_Scl_000084,-1.56,
SAGA_Scl_000085,-1.22,0.42
SAGA_Scl_000085,-1.19,
SAGA_Scl_000085,-1.22,
SAGA_Scl_000085,-1.07,
SAGA_Scl_000086,-2.31,
SAGA_Scl_000086,-2.11,0.06
SAGA_Scl_000086,-2.48,
SAGA_Scl_000086,-2.09,
SAGA_Scl_000086,-2.11,
SAGA_Scl_000086,-2.34,
SAGA_Scl_000086,-2.46,
SAGA_Scl_000087,-1.77,0.18
SAGA_Scl_000087,-1.75,
SAGA_Scl_000087,-1.77,
SAGA_Scl_000088,-1.37,
SAGA_Scl_000088,-1.53,0.54
SAGA_Scl_000088,-1.51,
SAGA_Scl_000088,-1.53,
SAGA_Scl_000088,-1.23,
SAGA_Scl_000089,-1.15,0.6
SAGA_Scl_000089,-1.13,
SAGA_Scl_000089,-1.15,
SAGA_Scl_000090,-1.24,
SAGA_Scl_000090,-1.32,0.56
SAGA_Scl_000090,-1.3,
SAGA_Scl_000090,-1.32,
SAGA_Scl_000090,-1.19,
SAGA_Scl_000091,-2.27,0.38
