Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
2MASS J11303693+0224037,-116.3764233,-164582.2859
2MASS J11370170-5401298,-881.8348463,-171929.6722
2MASS J11404726-0833030,-204.620145,-182386.5771
2MASS J11404944-1615396,-3.5866039,-168616.284
BD+26:2251,-363.7334272,-123602.6436
2MASS J11444086-0409511,2885.200291,-112420.5635
2MASS J11444480-1128167,215.9872166,-159874.5357
2MASS J11463882-0422395,-165.4035459,-170687.2763
2MASS J11471027+0341265,1966.748948,-119890.2811
2MASS J11472988-0521444,-655.28242,-126486.9091
2MASS J11510227-6940416,53.92915852,-188650.6314
HD 103095,-705.6548961,-137483.6613
2MASS J11543613-0133450,-174.2839316,-107599.9072
2MASS J12044314-2911051,-815.814274,-158329.2238
2MASS J12045624-0759232,1135.642263,-112828.2273
2MASS J12070990-3653243,68.11905299,-174741.641
2MASS J12091322-1415313,248.0710064,-163242.3232
2MASS J12102259-4902190,-139.8107696,-151576.1738
HD 106373,-544.8557671,-141068.3216
HD 107752,1081.365289,-158270.0526
2MASS J12233047-4216365,-948.1765502,-153223.5485
2MASS J12255123-2351074,-1243.731107,-158471.0846
HD 108317,-1218.315151,-166647.8557
HD 108577,299.5517826,-150660.3798
2MASS J12292696-0442325,519.9409314,-141742.8074
HE 1226-1149,-1829.693868,-123653.0366
2MASS J12341308-3149577,688.1244506,-164209.3947
2MASS J12351734+0945333,-1071.485068,-145090.1114
2MASS J12405721-4051430,-112.6638931,-172889.01
2MASS J12503987-0307485,1899.944437,-128647.2115
2MASS J12535742-3801355,1426.947923,-109842.7701
2MASS J12571667-4335318,-816.5623645,-178043.9551
HE 1256-0228,-804.8229163,-169239.0387
2MASS J12591462-7049592,-111.160435,-186696.1799
BPS BS 16929-005,-908.7706404,-168010.6416
2MASS J13052137-1137220,127.4105443,-163803.5178
2MASS J13101305-3342369,-991.6442995,-178516.9268
BPS CS 22877-015,-403.8145456,-183138.7259
HD 115444,-588.0285031,-167345.0335
2MASS J13164824-2743351,114.1882758,-147113.8787
BPS BS 16033-081,589.733136,-165502.2196
2MASS J13214178-4320055,-62.8935838,-186007.6382
2MASS J13254554-1747547,585.0056077,-151067.5825
2MASS J13261792-0945176,458.569195,-179064.753
2MASS J13315746-1929446,-1181.421359,-172313.5787
HD 118055,-1108.55068,-163495.5492
SMSS J133532.32-210632.9,548.2823901,-179217.7085
2MASS J13374885-0826176,-630.92295,-170639.245
2MASS J13425404-0717005,-1094.581077,-111689.0089
HD 119516,-1189.753049,-132017.8775
BPS BS 16089-013,538.4204277,-147018.7319
2MASS J13494713-7423395,-142.0417179,-184783.8692
2MASS J13511539-7340363,521.4442698,-138953.2331
2MASS J13524835+1254216,8.043797297,-149273.8242
2MASS J14004919+4551581,-507.9823112,-87449.22569
2MASS J14032900-5250429,-381.0747006,-184040.8891
2MASS J14043762+0011117,-274.3398896,-163273.2225
HD 122956,-187.22346,-177633.7944
2MASS J14101587-0343553,-803.3483473,-171567.3461
2MASS J14155955-3219255,-1069.960393,-151111.4064
2MASS J14180866-2842077,76.48511808,-175790.6275
2MASS J14191395-0844410,-1182.84063,-166144.6936
BD+01:2916,137.2198258,-182786.3496
2MASS J14232679-2834200,777.5218067,-183614.0462
2MASS J14234371-4025526,-1399.68357,-121119.3839
BD+08:2856,-1151.33909,-155677.0477
2MASS J14301385-2317388,1441.046093,-118127.068
BD+18:2890,388.8537109,-162807.6808
HE 1429-0347,-1198.066544,-147410.3438
2MASS J14325334-4125494,-1112.445109,-116966.045
HE 1430+0053,593.1491866,-170942.566
2MASS J14354680-1124122,-1521.342162,-166654.2728
BPS BS 16083-172,-606.8461656,-168213.1943
