JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Mg/Fe
1152,ROE14b,BD+233130,BD+23_3130, -2.93,0.46
1160,ROE14b,BD+241676,BD+24_1676, -2.7,0.36
1183,ROE14b,G190-15,BD+38_4955, -3.12,0.41
1192,ROE14b,BD+44493,BD+44_493, -4.28,0.89
1200,ROE14b,BD+80245,BD+80_245, -2.04, -0.29
1223,ROE14b,CS22169-008,BPS_CS_22169-0008, -2.85,0.48
1224,ROE14b,CS22171-031,BPS_CS_22171-0031, -2.54,0.39
1225,ROE14b,CS22171-037,BPS_CS_22171-0037, -3.63,0.34
1227,ROE14b,CS22174-020,BPS_CS_22174-0020, -3.29,0.5
1228,ROE14b,CS22177-010,BPS_CS_22177-0010, -3.0,0.43
1232,ROE14b,CS22191-029,BPS_CS_22191-0029, -2.94,0.57
1234,ROE14b,CS22871-104,BPS_CS_22871-0104, -2.2,0.5
1236,ROE14b,CS22872-102,BPS_CS_22872-0102, -2.85,0.47
1237,ROE14b,CS22873-072,BPS_CS_22873-0072, -3.08,0.34
1246,ROE14b,CS22874-123,BPS_CS_22874-0123, -2.79,0.29
1248,ROE14b,CS22875-029,BPS_CS_22875-0029, -2.71,0.54
1251,ROE14b,CS22877-011,BPS_CS_22877-0011, -3.23,0.36
1252,ROE14b,CS22877-015,BPS_CS_22877-0015, -2.12,0.45
1253,ROE14b,CS22877-051,BPS_CS_22877-0051, -3.03,0.45
1254,ROE14b,CS22878-002,BPS_CS_22878-0002, -2.97,0.49
1256,ROE14b,CS22878-027,BPS_CS_22878-0027, -2.92,0.27
1257,ROE14b,CS22879-012,BPS_CS_22879-0012, -3.01,0.41
1258,ROE14b,CS22879-029,BPS_CS_22879-0029, -2.55,0.43
1259,ROE14b,CS22879-051,BPS_CS_22879-0051, -3.02,0.46
1260,ROE14b,CS22879-094,BPS_CS_22879-0094, -3.15,0.52
1262,ROE14b,CS22879-097,BPS_CS_22879-0097, -2.66,0.59
1264,ROE14b,CS22879-103,BPS_CS_22879-0103, -2.16,0.56
1266,ROE14b,CS22880-067,BPS_CS_22880-0067, -3.23,0.66
1269,ROE14b,CS22880-086,BPS_CS_22880-0086, -3.28,0.46
1270,ROE14b,CS22881-032,BPS_CS_22881-0032, -3.55,0.5
1273,ROE14b,CS22881-039,BPS_CS_22881-0039, -2.79,0.42
1274,ROE14b,CS22881-070,BPS_CS_22881-0070, -2.96,0.23
1276,ROE14b,CS22884-020,BPS_CS_22884-0020, -2.48,0.39
1278,ROE14b,CS22885-040,BPS_CS_22885-0040, -2.78,0.35
1280,ROE14b,CS22885-203,BPS_CS_22885-0203, -2.73,0.42
1281,ROE14b,CS22886-012,BPS_CS_22886-0012, -2.88,0.38
1285,ROE14b,CS22888-031,BPS_CS_22888-0031, -3.71,0.49
1288,ROE14b,CS22888-047,BPS_CS_22888-0047, -2.54,0.24
1290,ROE14b,CS22889-050,BPS_CS_22889-0050, -3.09,0.5
1291,ROE14b,CS22890-011,BPS_CS_22890-0011, -2.68,0.25
1292,ROE14b,CS22891-221,BPS_CS_22891-0221, -3.23,0.47
1294,ROE14b,CS22892-025,BPS_CS_22892-0025, -2.78,0.35
1296,ROE14b,CS22893-005,BPS_CS_22893-0005, -2.99,0.51
1299,ROE14b,CS22893-010,BPS_CS_22893-0010, -3.12,0.56
1300,ROE14b,CS22893-011,BPS_CS_22893-0011, -2.4,0.36
1301,ROE14b,CS22894-004,BPS_CS_22894-0004, -2.96,0.47
1302,ROE14b,CS22894-019,BPS_CS_22894-0019, -2.98,0.41
1304,ROE14b,CS22894-049,BPS_CS_22894-0049, -2.84,0.38
1305,ROE14b,CS22896-015,BPS_CS_22896-0015, -2.85,0.39
1306,ROE14b,CS22896-055,BPS_CS_22896-0055, -2.52,0.42
