# Object,[Fe/H],[C/Fe]
SAGA_Dra_000313,-2.8,0.72
SAGA_Dra_000314,-2.5,-0.91
SAGA_Dra_000315,-2.15,-0.86
SAGA_Dra_000316,-1.92,-0.51
SAGA_Dra_000317,-2.04,-0.73
SAGA_Dra_000318,-1.95,-0.55
SAGA_Dra_000319,-2.15,-0.43
SAGA_Dra_000320,-1.87,-0.98
SAGA_Dra_000321,-1.71,-1.08
SAGA_Dra_000322,-2.2,-0.26
SAGA_Dra_000323,-2.27,-0.75
SAGA_Dra_000323,-1.85,-0.66
SAGA_Dra_000323,-1.82,
SAGA_Dra_000324,-2,-0.56
SAGA_Dra_000325,-2.33,-0.59
SAGA_Dra_000325,-1.58,-0.66
SAGA_Dra_000325,-1.87,
SAGA_Dra_000326,-1.94,-0.56
SAGA_Dra_000327,-2,-0.83
SAGA_Dra_000334,-2.16,-0.82
SAGA_Dra_000336,-2.41,0.59
SAGA_Dra_000340,-2.48,-0.45
SAGA_Dra_000343,-2.47,0.14
SAGA_Dra_000346,-1.25,-0.59
SAGA_For_000003,-0.67,
SAGA_For_000003,-0.62,-0.63
SAGA_For_000003,-0.73,
SAGA_For_000003,-0.35,
SAGA_For_000003,-0.62,
SAGA_For_000025,-0.7,
SAGA_For_000025,-1.01,0.35
SAGA_For_000025,-0.91,
SAGA_For_000025,-0.97,
SAGA_For_000025,-0.89,
SAGA_For_000025,-0.79,
SAGA_For_000025,-1.01,
SAGA_For_000032,-1.31,
SAGA_For_000032,-1.4,-1.1
SAGA_For_000032,-1.19,
SAGA_For_000032,-1.4,
SAGA_For_000057,-0.5,
SAGA_For_000057,-0.77,-0.68
SAGA_For_000057,-0.54,
SAGA_For_000659,-3.66,-0.71
SAGA_For_000659,-2.61,
SAGA_For_000805,-1.17,-0.72
SAGA_For_000805,-0.92,
SAGA_For_000805,-1.17,
SAGA_For_000810,-1.3,0.4
SAGA_For_000810,-1.11,
SAGA_For_000811,-1.12,-0.77
SAGA_For_000811,-0.87,
SAGA_For_000841,-1.08,-0.53
SAGA_For_000841,-0.87,
SAGA_For_000842,-0.92,-0.95
SAGA_For_000842,-0.74,
SAGA_For_000842,-0.91,
SAGA_For_000846,-0.89,-1.06
SAGA_For_000846,-0.62,
SAGA_For_000846,-0.89,
SAGA_For_000850,-0.79,-0.66
SAGA_For_000850,-0.55,
SAGA_For_000858,-0.77,-0.19
SAGA_For_000858,-0.68,
SAGA_For_000858,-0.51,
SAGA_For_000858,-0.76,
SAGA_For_000927,-1.09,-0.51
