# Object,[Fe/H],[C/Fe]
SAGA_Scl_000547,-2.91,0.26
SAGA_Scl_000548,-1.15,-0.84
SAGA_Scl_000551,-2.94,-0.18
SAGA_Scl_000552,-2.39,0.25
SAGA_Scl_000553,-2.01,-0.21
SAGA_Scl_000554,-2.85,0.21
SAGA_Scl_000555,-1.42,-0.47
SAGA_Scl_000557,-3.05,0.51
SAGA_Scl_000558,-2.85,0.51
SAGA_Scl_000559,-2.55,0.17
SAGA_Scl_000560,-2.62,0.55
SAGA_Scl_000561,-3.23,0.78
SAGA_Scl_000562,-1.87,-0.24
SAGA_Scl_000563,-2.39,0.41
SAGA_Scl_000564,-2.74,0.84
SAGA_Scl_000565,-2.42,-0.48
SAGA_Scl_000566,-2.99,0.65
SAGA_Scl_000567,-2.94,0.07
SAGA_Scl_000568,-2.97,0.79
SAGA_Scl_000570,-3.05,0.78
SAGA_Scl_000572,-3.05,0.24
SAGA_Scl_000573,-1.83,-0.47
SAGA_Scl_000574,-3.05,0.48
SAGA_Scl_000575,-2.97,0.53
SAGA_Scl_000576,-2.02,-0.32
SAGA_Scl_000578,-3.06,0.66
SAGA_Scl_000579,-2.1,-0.21
SAGA_Scl_000582,-2.91,0.43
SAGA_Scl_000583,-3.05,0.44
SAGA_Scl_000584,-2.98,0.57
SAGA_Scl_000585,-2.83,0.73
SAGA_Scl_000586,-1.59,-0.59
SAGA_Scl_000589,-2.85,1.22
SAGA_Scl_000590,-3.23,0.35
SAGA_Scl_000593,-2.5,0.32
SAGA_Scl_000595,-1.65,-0.45
SAGA_Scl_000596,-1.96,-0.49
SAGA_Scl_000598,-3.14,0.84
SAGA_Scl_000601,-3.05,0.21
SAGA_Scl_000602,-3.05,0.37
SAGA_Scl_000603,-0.61,-0.37
SAGA_Scl_000604,-2.95,0.85
SAGA_Scl_000605,-3.14,0.31
SAGA_Scl_000606,-2.74,0.62
SAGA_Scl_000607,-2.4,-0.28
SAGA_UMi_000002,-2.2,-0.84
SAGA_UMi_000002,-1.91,
SAGA_UMi_000002,-2.01,
SAGA_UMi_000002,-2.19,
SAGA_UMi_000003,-2.74,-1.27
SAGA_UMi_000003,-2.18,
SAGA_UMi_000003,-2.32,
SAGA_UMi_000003,-2.72,
SAGA_UMi_000004,-2.1,-1.05
SAGA_UMi_000004,-2.01,
SAGA_UMi_000004,-1.95,
SAGA_UMi_000004,-1.68,
SAGA_UMi_000008,-2.47,-0.45
SAGA_UMi_000022,-2.53,-0.62
SAGA_UMi_000022,-2.37,
SAGA_UMi_000022,-2.52,
SAGA_UMi_000024,-2.23,-0.54
SAGA_UMi_000024,-2.05,
SAGA_UMi_000024,-2.22,
SAGA_UMi_000025,-2.48,-0.67
SAGA_UMi_000031,-2.1,-0.8
SAGA_UMi_000031,-1.94,
SAGA_UMi_000032,-2.14,-1.22
SAGA_UMi_000032,-1.96,
SAGA_UMi_000032,-2.13,
SAGA_UMi_000033,-1.78,-0.56
SAGA_UMi_000033,-1.56,
SAGA_UMi_000034,-3.13,0.06
SAGA_UMi_000035,-1.79,-0.62
SAGA_UMi_000035,-1.6,
SAGA_UMi_000037,-2.07,0.44
SAGA_UMi_000037,-1.96,
SAGA_UMi_000037,-2.01,
SAGA_UMi_000038,-3.14,-0.75
SAGA_UMi_000038,-3.45,
SAGA_UMi_000042,-2.33,-0.63
SAGA_UMi_000042,-2.16,
SAGA_UMi_000042,-2.32,
SAGA_UMi_000047,-1.91,-0.55
SAGA_UMi_000047,-1.71,
SAGA_UMi_000047,-1.9,
SAGA_UMi_000050,-2.43,-0.52
SAGA_UMi_000050,-2.26,
SAGA_UMi_000050,-2.43,
SAGA_UMi_000055,-2.18,-0.36
SAGA_UMi_000055,-2,
SAGA_UMi_000059,-2.49,-0.53
SAGA_UMi_000059,-2.32,
SAGA_UMi_000059,-2.48,
SAGA_UMi_000068,-2.18,-0.21
SAGA_UMi_000068,-2.09,
SAGA_UMi_000076,-2.24,-0.82
SAGA_UMi_000076,-2.08,
SAGA_UMi_000076,-2.21,
SAGA_UMi_000082,-1.6,-0.47
SAGA_UMi_000084,-1.68,-0.32
SAGA_UMi_000084,-1.5,
SAGA_UMi_000090,-2.5,-0.44
SAGA_UMi_000090,-2.33,
SAGA_UMi_000095,-1.99,-0.33
SAGA_UMi_000095,-1.87,
SAGA_UMi_000098,-1.4,-0.85
SAGA_UMi_000100,-2.07,-0.13
SAGA_UMi_000100,-1.9,
SAGA_UMi_000110,-2.14,-0.87
SAGA_UMi_000110,-1.97,
SAGA_UMi_000110,-2.12,
SAGA_UMi_000126,-1.64,-1.05
SAGA_UMi_000126,-1.49,
SAGA_UMi_000136,-3.15,0.18
SAGA_UMi_000145,-2.18,-0.57
SAGA_UMi_000145,-1.99,
SAGA_UMi_000145,-2.15,
SAGA_UMi_000151,-2.2,-0.55
SAGA_UMi_000169,-2,-0.49
SAGA_UMi_000169,-1.83,
SAGA_UMi_000169,-1.99,
SAGA_UMi_000180,-1.85,-0.01
SAGA_UMi_000180,-1.68,
SAGA_UMi_000189,-1.86,-0.12
SAGA_UMi_000189,-1.7,
SAGA_UMi_000190,-1.81,-0.66
SAGA_UMi_000190,-1.65,
SAGA_UMi_000190,-1.82,
SAGA_UMi_000195,-2.43,0.19
SAGA_UMi_000195,-2.25,
SAGA_UMi_000198,-1.91,-0.24
SAGA_UMi_000198,-1.76,
SAGA_UMi_000200,-1.99,-0.19
SAGA_UMi_000200,-1.73,
SAGA_UMi_000201,-2.34,-1.18
SAGA_UMi_000201,-2.21,
SAGA_UMi_000201,-2.3,
SAGA_UMi_000204,-2.07,-0.73
SAGA_UMi_000204,-1.9,
SAGA_UMi_000204,-2.03,
SAGA_UMi_000207,-2.22,-0.38
SAGA_UMi_000207,-2.08,
SAGA_UMi_000207,-2.23,
SAGA_UMi_000208,-1.96,-0.54
SAGA_UMi_000208,-1.81,
SAGA_UMi_000208,-1.95,
SAGA_UMi_000210,-2.51,1.19
SAGA_UMi_000210,-2.33,
SAGA_UMi_000211,-2.39,-0.02
SAGA_UMi_000211,-2.21,
SAGA_UMi_000215,-1.83,-0.36
SAGA_UMi_000215,-1.68,
SAGA_UMi_000215,-1.81,
SAGA_UMi_000217,-2.93,-0.08
SAGA_UMi_000217,-2.76,
SAGA_UMi_000217,-2.92,
SAGA_UMi_000219,-2.29,-0.42
SAGA_UMi_000219,-2.14,
SAGA_UMi_000219,-2.28,
SAGA_UMi_000220,-2.12,-0.85
SAGA_UMi_000220,-1.81,-0.56
SAGA_UMi_000220,-1.92,
SAGA_UMi_000220,-2.09,
SAGA_UMi_000221,-2.13,-0.33
SAGA_UMi_000222,-1.96,-0.61
