# Object,[Mg/Fe],[Na/Fe]
SAGA_For_001456,-0.23,-0.65
SAGA_For_001502,0.12,-0.71
SAGA_For_001507,-0.15,-0.88
SAGA_For_001508,0.02,-0.16
SAGA_For_001529,0.02,-0.33
SAGA_For_001530,-0.34,-0.74
SAGA_For_001539,-0.33,-0.9
SAGA_For_001554,-0.04,-0.77
SAGA_For_001561,-0.43,-0.92
SAGA_For_001576,-0.02,-0.64
SAGA_Scl_000001,0.35,-0.07
SAGA_Scl_000001,,
SAGA_Scl_000001,,
SAGA_Scl_000001,,
SAGA_Scl_000001,0.32,
SAGA_Scl_000001,,
SAGA_Scl_000001,,
SAGA_Scl_000002,0.34,-0.24
SAGA_Scl_000002,,
SAGA_Scl_000002,,
SAGA_Scl_000002,,
SAGA_Scl_000002,0.21,
SAGA_Scl_000002,,
SAGA_Scl_000003,0.16,-0.46
SAGA_Scl_000003,0.32,
SAGA_Scl_000003,,
SAGA_Scl_000003,,
SAGA_Scl_000003,0.32,
SAGA_Scl_000003,0.3,
SAGA_Scl_000004,0.24,-0.5
SAGA_Scl_000004,0.23,
SAGA_Scl_000004,,
SAGA_Scl_000004,,
SAGA_Scl_000004,0.42,
SAGA_Scl_000004,0.05,
SAGA_Scl_000005,0.07,-0.46
SAGA_Scl_000005,-0.07,
SAGA_Scl_000005,,
SAGA_Scl_000005,,
SAGA_Scl_000005,-0.02,
SAGA_Scl_000005,-0.21,
SAGA_Scl_000006,0.67,-0.43
SAGA_Scl_000006,0.37,
SAGA_Scl_000006,,
SAGA_Scl_000006,,
SAGA_Scl_000006,,
SAGA_Scl_000006,0.43,
SAGA_Scl_000006,0.33,
SAGA_Scl_000006,,
SAGA_Scl_000007,-0.24,-0.15
SAGA_Scl_000007,,
SAGA_Scl_000007,,
SAGA_Scl_000008,0.14,-0.52
SAGA_Scl_000008,0.09,
SAGA_Scl_000008,,
SAGA_Scl_000008,,
SAGA_Scl_000008,0.43,
SAGA_Scl_000008,-0.1,
SAGA_Scl_000009,-0.21,-0.46
