# Object,[Fe/H],[Ca/H]
SAGA_Dra_000198,-2.68,
SAGA_Dra_000199,-2.02,
SAGA_Dra_000199,-1.76,-1.61
SAGA_Dra_000200,-2.23,
SAGA_Dra_000200,-1.89,-2.1
SAGA_Dra_000201,-1.61,-1.76
SAGA_Dra_000202,-2.28,
SAGA_Dra_000202,-1.96,-1.64
SAGA_Dra_000203,-2.04,
SAGA_Dra_000203,-1.72,-1.1
SAGA_Dra_000204,-2.12,
SAGA_Dra_000204,-1.79,-2.71
SAGA_Dra_000205,-2.04,
SAGA_Dra_000205,-2.04,-1.86
SAGA_Dra_000208,-1.6,-1.84
SAGA_Dra_000209,-1.71,-2.15
SAGA_Dra_000210,-2.06,
SAGA_Dra_000210,-1.74,-1.45
SAGA_Dra_000210,-1.97,
SAGA_Dra_000211,-2.39,
SAGA_Dra_000211,-2.08,-2.12
SAGA_Dra_000211,-2.28,
SAGA_Dra_000213,-2.01,-2.13
SAGA_Dra_000214,-2.03,
SAGA_Dra_000214,-1.74,-0.97
SAGA_Dra_000217,-2.6,
SAGA_Dra_000217,-2.3,-2.06
SAGA_Dra_000224,-2.08,
SAGA_Dra_000224,-1.84,-1.79
SAGA_Dra_000227,-1.84,
SAGA_Dra_000227,-1.47,-1.89
SAGA_Dra_000227,-1.6,
SAGA_Dra_000228,-1.66,
SAGA_Dra_000228,-1.45,-1.69
SAGA_Dra_000228,-1.64,
SAGA_Dra_000229,-1.47,-1.5
SAGA_Dra_000230,,
SAGA_Dra_000230,-2.48,
SAGA_Dra_000230,-2.2,-2.56
SAGA_Dra_000230,-2.46,
SAGA_Dra_000231,-0.89,-0.39
SAGA_Dra_000233,-2.09,
SAGA_Dra_000233,-1.77,-1.9
SAGA_Dra_000233,-1.96,
SAGA_Dra_000234,,
SAGA_Dra_000234,-2.01,
SAGA_Dra_000234,-1.76,-2.01
SAGA_Dra_000234,-1.94,
SAGA_Dra_000235,-2.39,
SAGA_Dra_000235,-2.08,-2.33
SAGA_Dra_000235,-2.18,
SAGA_Dra_000236,-1.97,
SAGA_Dra_000236,-1.66,-2.22
SAGA_Dra_000237,-1.49,-1.12
SAGA_Dra_000238,-1.7,
SAGA_Dra_000238,-1.4,-1.46
SAGA_Dra_000239,-2.82,
SAGA_Dra_000239,-2.56,-2.28
SAGA_Dra_000240,-1.64,-1.7
SAGA_Dra_000241,-1.98,
SAGA_Dra_000241,-1.66,-2.01
SAGA_Dra_000243,-2.16,-2.28
SAGA_Dra_000245,-2.33,-1.9
SAGA_Dra_000248,-1.95,-2.04
SAGA_Dra_000248,-2.08,
SAGA_Dra_000250,-2.7,
SAGA_Dra_000250,-2.38,-1.96
SAGA_Dra_000251,-1.58,-1.62
SAGA_Dra_000253,-2.2,
SAGA_Dra_000253,-1.9,-1.8
SAGA_Dra_000254,-1.41,
SAGA_Dra_000254,-1.1,-1.99
SAGA_Dra_000255,-1.71,
SAGA_Dra_000255,-1.44,-0.96
SAGA_Dra_000257,-2.03,
SAGA_Dra_000257,-1.72,-1.47
SAGA_Dra_000259,-2.54,
SAGA_Dra_000259,-2.31,-1.84
SAGA_Dra_000260,-1.39,-1.24
SAGA_Dra_000262,-2.45,
SAGA_Dra_000262,-2.14,-2.07
SAGA_Dra_000262,-2.15,
SAGA_Dra_000263,-1.7,-1.54
SAGA_Dra_000264,-2.24,
SAGA_Dra_000264,-1.45,-2.33
SAGA_Dra_000268,-1.65,
SAGA_Dra_000268,-1.35,-0.8
SAGA_Dra_000271,-1.61,-1.57
SAGA_Dra_000272,-2.24,-2.23
SAGA_Dra_000273,-1.85,-1.94
SAGA_Dra_000276,-2.83,-1.94
SAGA_Dra_000279,-2.01,-1.63
SAGA_Dra_000281,-1.76,
SAGA_Dra_000281,-1.45,-1.4
SAGA_Dra_000281,-1.64,
SAGA_Dra_000288,-2.07,-2.22
SAGA_Dra_000290,-2.11,
SAGA_Dra_000290,-1.81,-1.86
SAGA_Dra_000291,-2.1,-1.62
SAGA_Dra_000292,-2.35,-1.72
SAGA_Dra_000293,-1.63,-1.38
SAGA_Dra_000294,-1.87,-2.1
SAGA_Dra_000295,-1.89,-2.49
SAGA_Dra_000298,-2.02,-2.17
SAGA_Dra_000299,-2.26,-1.74
SAGA_Dra_000302,-0.72,0.06
SAGA_Dra_000303,-1.9,-1.73
SAGA_Dra_000304,-1.9,-2
SAGA_Dra_000306,-2,-1.95
SAGA_Dra_000307,-2.05,-1.88
SAGA_Dra_000308,-2.63,-2.51
SAGA_Dra_000309,-2,-1.95
SAGA_Dra_000310,-2.3,-2.25
SAGA_Dra_000311,-2.2,-2.09
SAGA_Dra_000312,-1.65,-1.75
SAGA_Dra_000314,-2.5,-2.53
SAGA_Dra_000315,-2.15,-2.08
SAGA_Dra_000316,-1.92,-1.78
SAGA_Dra_000317,-2.04,-1.92
SAGA_Dra_000318,-1.95,-1.8
SAGA_Dra_000319,-2.15,-2.07
SAGA_Dra_000320,-1.87,-1.83
SAGA_Dra_000321,-1.71,-1.85
SAGA_Dra_000322,-2.2,-1.96
SAGA_Dra_000323,-2.27,
SAGA_Dra_000323,-1.85,-1.81
SAGA_Dra_000323,-1.82,
SAGA_Dra_000324,-2,-1.9
SAGA_Dra_000325,-2.33,
SAGA_Dra_000325,-1.58,-1.59
SAGA_Dra_000325,-1.87,
SAGA_Dra_000326,-1.94,-1.82
SAGA_Dra_000327,-2,-1.87
SAGA_For_000001,-1.21,-0.98
SAGA_For_000001,-0.92,-1.09
SAGA_For_000001,-0.89,-1.15
SAGA_For_000002,-1.6,-1.35
SAGA_For_000003,-0.67,-0.42
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,-0.67
SAGA_For_000003,-0.35,-0.98
SAGA_For_000003,-0.62,
SAGA_For_000011,-1.18,
SAGA_For_000011,-1.19,
SAGA_For_000011,-1.07,-1.62
SAGA_For_000015,-0.8,
SAGA_For_000015,-1.06,
SAGA_For_000015,-0.79,-0.96
SAGA_For_000015,-1.06,
SAGA_For_000017,-0.5,
SAGA_For_000017,-0.72,-0.94
SAGA_For_000017,-0.71,-0.94
SAGA_For_000021,-1.01,
SAGA_For_000021,-1,-1.46
SAGA_For_000021,-1.12,-1.46
SAGA_For_000021,-0.93,
SAGA_For_000021,-0.94,-1.3
SAGA_For_000023,-0.99,
SAGA_For_000023,-0.9,-1.27
SAGA_For_000023,-1.06,-1.35
SAGA_For_000023,-1.13,
SAGA_For_000024,-0.6,
SAGA_For_000024,-0.63,-0.88
SAGA_For_000024,-0.74,-0.92
SAGA_For_000024,-0.31,
SAGA_For_000025,-0.7,
SAGA_For_000025,-1.01,
SAGA_For_000025,-0.91,-1.23
SAGA_For_000025,-0.97,-1.23
SAGA_For_000025,-0.89,
SAGA_For_000025,-0.79,-1.24
SAGA_For_000025,-1.01,
SAGA_For_000026,-0.99,
SAGA_For_000026,-0.87,
SAGA_For_000026,-0.89,-0.85
SAGA_For_000030,-0.5,
SAGA_For_000030,-0.66,-0.71
SAGA_For_000030,-0.59,-0.64
SAGA_For_000032,-1.31,
SAGA_For_000032,-1.4,
SAGA_For_000032,-1.19,-1.51
SAGA_For_000032,-1.4,
SAGA_For_000034,-1,
SAGA_For_000034,-0.88,-0.84
SAGA_For_000049,-1,
SAGA_For_000049,-0.91,-1.53
SAGA_For_000049,-0.82,-1.38
SAGA_For_000051,-1.06,
SAGA_For_000051,-0.96,-1.28
SAGA_For_000057,-0.5,
SAGA_For_000057,-0.77,
SAGA_For_000057,-0.54,-1.03
SAGA_For_000059,-0.6,
SAGA_For_000059,-0.84,-1.07
SAGA_For_000071,-0.9,
SAGA_For_000071,-0.85,-1.41
SAGA_For_000077,-0.8,
SAGA_For_000077,-0.92,-1.06
SAGA_For_000086,-0.6,
SAGA_For_000086,-0.67,-1.32
SAGA_For_000092,-1.07,
SAGA_For_000092,-1.02,-1.42
SAGA_For_000107,-0.6,
SAGA_For_000107,-0.62,-0.94
SAGA_For_000117,-0.8,
SAGA_For_000117,-0.85,-1
SAGA_For_000117,-0.86,-1.03
SAGA_For_000243,-0.3,-0.41
SAGA_For_000243,-0.92,
SAGA_For_000247,-2.09,-1.6
SAGA_For_000247,-1.91,
SAGA_For_000271,-0.67,-0.72
SAGA_For_000271,-0.91,
SAGA_For_000283,-2.31,-2.26
SAGA_For_000283,,
SAGA_For_000301,-0.7,-1.11
SAGA_For_000301,-0.82,
SAGA_For_000305,-0.26,-0.85
SAGA_For_000305,-0.93,
SAGA_For_000306,-0.82,-1.17
SAGA_For_000306,-0.86,
SAGA_For_000318,-0.44,-0.76
SAGA_For_000318,-0.64,
SAGA_For_000319,-1.68,-1.79
SAGA_For_000319,-1.62,
SAGA_For_000322,-0.62,-0.8
SAGA_For_000322,-0.97,
SAGA_For_000323,-0.74,-1.17
SAGA_For_000323,-0.85,
SAGA_For_000331,-0.88,-1.19
SAGA_For_000331,-1.04,
SAGA_For_000346,-0.88,-1.02
SAGA_For_000346,-0.95,
SAGA_For_000362,-0.64,-1.15
SAGA_For_000362,-0.64,
SAGA_For_000378,-0.82,-1.07
SAGA_For_000378,-0.82,-1.1
SAGA_For_000378,-0.74,
SAGA_For_000381,-0.64,-0.87
SAGA_For_000381,-0.67,-0.61
SAGA_For_000381,-0.82,
SAGA_For_000390,-0.88,-0.77
SAGA_For_000390,-0.61,
SAGA_For_000397,-0.7,-1.03
SAGA_For_000397,-0.76,
SAGA_For_000399,-0.63,-0.78
SAGA_For_000399,-0.49,
SAGA_For_000407,-1.53,-1.54
SAGA_For_000407,-1.52,-1.5
SAGA_For_000407,-1.75,
SAGA_For_000415,-0.72,-0.91
SAGA_For_000415,-0.73,-0.83
SAGA_For_000415,-0.62,
SAGA_For_000415,-0.77,-1.24
SAGA_For_000419,-0.54,
SAGA_For_000419,-0.61,-1.29
SAGA_For_000421,-0.71,-0.8
SAGA_For_000421,-0.69,-0.88
SAGA_For_000421,-0.65,
SAGA_For_000423,-0.62,
SAGA_For_000423,-1.46,-1.51
SAGA_For_000424,-0.59,-0.71
SAGA_For_000424,-0.75,-0.81
SAGA_For_000424,-0.77,
SAGA_For_000425,-0.85,-1.17
SAGA_For_000425,-0.95,-1.23
SAGA_For_000425,-0.79,
SAGA_For_000429,-0.58,
SAGA_For_000429,-0.49,-1.15
