ecc_mean,zmax_mean(kpc)
0.864598679,0.168513845
0.971728051,33.45048794
0.658352416,5.299088941
0.79246515,22.9871841
0.6686115,7.958765016
0.713998346,9.697607641
0.939274105,5.499557118
0.882011792,2.811543427
0.497458643,5.245128946
0.705531672,2.45216089
0.22630265,5.523632069
0.462093073,0.254069012
0.602387159,12.7120397
0.800596104,13.30953336
0.415878428,16.22776547
0.579735755,6.937616601
0.340010332,10.71860923
0.950732606,4.625183458
0.432166134,12.59638514
0.625227265,27.30767267
0.53918,1.364282814
0.483570208,4.861700568
0.887042799,3.244054458
0.518205413,3.654492331
0.757551493,10.1312898
0.394985968,1.112964181
0.780880911,0.866710021
0.770029027,1.118365791
0.939554614,5.412772284
0.465835158,7.492243066
0.956483728,4.010983782
0.715660583,10.4378898
0.695252028,3.929825914
0.38219152,0.492666993
0.405658542,4.265723338
0.589282475,4.116449232
0.482422956,6.055177245
0.58844329,27.85245892
0.475570323,15.51481298
0.742503898,12.07764016
0.843856176,5.298724566
0.898083436,0.881591136
0.975127558,14.16510646
0.962251571,40.47615372
0.797939604,0.176215958
0.826973416,8.468507452
0.826586097,6.227082982
0.631774723,1.144682716
0.467164934,8.553615446
0.85039521,3.205444667
0.435433129,2.205555637
0.853627961,3.328360894
0.459359772,2.212532077
0.764769217,9.807242107
0.599151742,2.1385271
0.703997887,18.41118128
0.830070016,3.776437609
0.528995749,7.834039817
0.839642414,10.53360434
0.627594718,5.089300637
0.130672665,0.592136996
0.734759102,3.373261149
0.78073496,3.35162915
0.872015153,14.01845866
0.410506964,3.015817227
0.411255742,2.206329057
0.458926311,4.425964437
0.311987471,0.797866878
0.426058428,15.89902098
0.641575506,10.37830679
0.689370637,4.353085179
0.816708127,7.292285628
0.309822947,6.403125062
0.934308087,15.81744283
0.572488232,2.267048624
0.463712997,3.136879237
0.704410365,1.303199131
0.599663053,4.086874571
0.532920523,5.213212843
0.681894765,17.49329479
0.452246549,8.074726424
0.611582374,1.028158666
0.369189796,1.191473218
0.703373376,3.756072233
0.798538087,16.04469018
0.170168859,2.765531573
0.3458972,1.261138724
0.962406951,4.45990232
0.784901702,4.642336221
0.582396541,5.851964788
0.407954017,1.401539494
0.595145317,1.674158536
0.302003058,0.534693729
0.975362651,5.332489185
0.553889644,4.937578697
0.39232339,10.48772012
0.586050378,3.556989312
0.846097379,55.4392524
0.605018455,3.43293849
0.767885642,5.092057695
0.485997711,5.05547369
0.262978536,1.712859209
0.203458173,3.95542804
0.436823436,9.256719093
0.953880224,4.078994045
0.55036643,2.48798795
0.387400387,2.679509211
0.473671447,6.898685465
0.47354443,3.547527981
0.420757962,3.233551412
0.873960688,4.350970511
0.802891762,9.488506804
0.132007845,1.42147561
0.902633808,5.17510798
0.759868414,2.5105032
0.789892923,2.840586426
0.665560018,1.710951402
0.468698262,1.951537343
0.11956916,2.874866133
0.342563098,2.228333137
0.159203672,1.585021098
0.262477911,1.678756244
0.898410459,4.738357611
0.405068613,15.7531196
0.941496515,4.691455932
0.904555393,3.131348863
0.725865523,3.20455981
0.91322778,3.221392174
0.748762786,10.24242954
0.337455008,2.864390855
0.962551152,17.90103114
0.986341151,4.626598139
0.349448509,2.113175917
0.88662966,4.102710245
0.269268253,2.365268214
0.949179275,4.890206184
0.700560917,3.638968146
0.889949018,3.973753378
0.848599377,3.409195187
0.983561608,5.27666275
0.712064395,3.336354921
0.383163073,1.415770329
0.533503941,1.390392933
0.698470712,1.79059872
0.8722372,3.402085853
0.609945198,20.14472525
0.8137778,79.74595543
0.767196985,39.657314
0.340447752,10.18056913
0.783375211,3.259772458
0.774128227,3.577216117
0.615633334,2.037386516
0.767428295,2.185092928
0.707295187,9.404592381
0.88107705,4.223738807
0.807625871,5.796052871
0.892367012,3.99954262
0.282849558,3.891651931
0.897077496,4.315540586
0.774773443,5.562065563
0.681650255,23.06752541
0.948336052,4.359614673
