# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Scl_000049	A.Skuladottir+,AAP, 606, A71, 2017	-0.93	
SAGA_Scl_000049	E.N.Kirby+,ApJ, 801, 125, 2015	-1.19	-1.08
SAGA_Scl_000049	G.Battaglia+,MNRAS, 383, 183, 2008	-0.91	
SAGA_Scl_000049	A.Skuladottir+,AAP, 580, A129, 2015	-0.93	
SAGA_Scl_000049	E.N.Kirby+,ApJS, 191, 352, 2010	-0.96	
SAGA_Scl_000049	G.E.Duggan+,ApJ, 869, 50, 2018	-1.17	
SAGA_Scl_000052	A.Skuladottir+,AAP, 606, A71, 2017	-1.83	
SAGA_Scl_000052	G.Battaglia+,MNRAS, 383, 183, 2008	-1.82	
SAGA_Scl_000052	A.Skuladottir+,AAP, 580, A129, 2015	-1.83	
SAGA_Scl_000052	C.Lardo+,AAP, 585, A70, 2016	-2.12	-0.56
SAGA_Scl_000057	E.N.Kirby+,ApJ, 705, 328, 2009	-1.63	
SAGA_Scl_000057	A.Skuladottir+,AAP, 606, A71, 2017	-1.85	
SAGA_Scl_000057	E.N.Kirby+,ApJ, 801, 125, 2015	-1.67	-1.29
SAGA_Scl_000057	G.Battaglia+,MNRAS, 383, 183, 2008	-1.83	
SAGA_Scl_000057	A.Skuladottir+,AAP, 580, A129, 2015	-1.85	
SAGA_Scl_000057	E.N.Kirby+,ApJS, 191, 352, 2010	-1.46	
SAGA_Scl_000058	P.Jablonka+,AAP, 583, A67, 2015	-2.44	-0.88
SAGA_Scl_000058	G.Battaglia+,MNRAS, 383, 183, 2008	-2.1	
SAGA_Scl_000058	A.Chiti+,ApJ, 856, 142, 2018	-2.83	0.48
SAGA_Scl_000060	E.N.Kirby+,ApJ, 705, 328, 2009	-1.35	
SAGA_Scl_000060	A.Skuladottir+,AAP, 606, A71, 2017	-1.33	
SAGA_Scl_000060	E.N.Kirby+,ApJ, 801, 125, 2015	-1.43	-0.58
SAGA_Scl_000060	G.Battaglia+,MNRAS, 383, 183, 2008	-1.31	
SAGA_Scl_000060	A.Skuladottir+,AAP, 580, A129, 2015	-1.33	
SAGA_Scl_000060	E.N.Kirby+,ApJS, 191, 352, 2010	-1.24	
SAGA_Scl_000060	G.E.Duggan+,ApJ, 869, 50, 2018	-1.42	
SAGA_Scl_000062	E.N.Kirby+,ApJ, 705, 328, 2009	-1.3	
SAGA_Scl_000062	E.N.Kirby+,ApJ, 801, 125, 2015	-1.44	-0.68
SAGA_Scl_000062	G.Battaglia+,MNRAS, 383, 183, 2008	-1.3	
SAGA_Scl_000062	A.Skuladottir+,AAP, 580, A129, 2015	-1.32	
SAGA_Scl_000062	E.N.Kirby+,ApJS, 191, 352, 2010	-1.2	
SAGA_Scl_000062	G.E.Duggan+,ApJ, 869, 50, 2018	-1.42	
SAGA_Scl_000063	G.Battaglia+,MNRAS, 383, 183, 2008	-1.66	
SAGA_Scl_000063	C.Lardo+,AAP, 585, A70, 2016	-1.67	-1.01
SAGA_Scl_000064	E.N.Kirby+,ApJ, 705, 328, 2009	-1.12	
SAGA_Scl_000064	E.N.Kirby+,ApJ, 801, 125, 2015	-1.17	-0.81
SAGA_Scl_000064	G.Battaglia+,MNRAS, 383, 183, 2008	-0.98	
SAGA_Scl_000064	E.N.Kirby+,ApJS, 191, 352, 2010	-0.94	
SAGA_Scl_000064	G.E.Duggan+,ApJ, 869, 50, 2018	-1.15	
SAGA_Scl_000065	A.Skuladottir+,AAP, 606, A71, 2017	-1.21	
SAGA_Scl_000065	G.Battaglia+,MNRAS, 383, 183, 2008	-1.2	
SAGA_Scl_000065	A.Skuladottir+,AAP, 580, A129, 2015	-1.21	
SAGA_Scl_000065	C.Lardo+,AAP, 585, A70, 2016	-1.54	-0.58
SAGA_Scl_000066	E.N.Kirby+,ApJ, 705, 328, 2009	-1.2	
SAGA_Scl_000066	A.Skuladottir+,AAP, 606, A71, 2017	-1.24	
SAGA_Scl_000066	E.N.Kirby+,ApJ, 801, 125, 2015	-1.29	-1.05
SAGA_Scl_000066	G.Battaglia+,MNRAS, 383, 183, 2008	-1.22	
SAGA_Scl_000066	A.Skuladottir+,AAP, 580, A129, 2015	-1.24	
SAGA_Scl_000066	E.N.Kirby+,ApJS, 191, 352, 2010	-1.09	
SAGA_Scl_000066	G.E.Duggan+,ApJ, 869, 50, 2018	-1.27	
SAGA_Scl_000067	E.N.Kirby+,ApJ, 705, 328, 2009	-1.24	
SAGA_Scl_000067	A.Skuladottir+,AAP, 606, A71, 2017	-1.3	
SAGA_Scl_000067	E.N.Kirby+,ApJ, 801, 125, 2015	-1.34	-0.96
SAGA_Scl_000067	G.Battaglia+,MNRAS, 383, 183, 2008	-1.28	
SAGA_Scl_000067	A.Skuladottir+,AAP, 580, A129, 2015	-1.3	
SAGA_Scl_000067	E.N.Kirby+,ApJS, 191, 352, 2010	-1.08	
SAGA_Scl_000067	G.E.Duggan+,ApJ, 869, 50, 2018	-1.32	
SAGA_Scl_000068	E.N.Kirby+,ApJ, 705, 328, 2009	-1.45	
SAGA_Scl_000068	A.Skuladottir+,AAP, 606, A71, 2017	-1.5	
SAGA_Scl_000068	E.N.Kirby+,ApJ, 801, 125, 2015	-1.51	-1.18
SAGA_Scl_000068	G.Battaglia+,MNRAS, 383, 183, 2008	-1.48	
SAGA_Scl_000068	A.Skuladottir+,AAP, 580, A129, 2015	-1.5	
SAGA_Scl_000068	E.N.Kirby+,ApJS, 191, 352, 2010	-1.38	
SAGA_Scl_000068	G.E.Duggan+,ApJ, 869, 50, 2018	-1.49	
SAGA_Scl_000070	A.Skuladottir+,AAP, 606, A71, 2017	-2.26	
SAGA_Scl_000070	G.Battaglia+,MNRAS, 383, 183, 2008	-2.24	
SAGA_Scl_000070	A.Skuladottir+,AAP, 580, A129, 2015	-2.26	
SAGA_Scl_000070	A.Chiti+,ApJ, 856, 142, 2018	-2.66	-0.22
SAGA_Scl_000070	C.Lardo+,AAP, 585, A70, 2016	-2.09	-1.1
SAGA_Scl_000072	E.N.Kirby+,ApJ, 705, 328, 2009	-1.54	
SAGA_Scl_000072	A.Skuladottir+,AAP, 606, A71, 2017	-1.57	
SAGA_Scl_000072	E.N.Kirby+,ApJ, 801, 125, 2015	-1.66	-0.67
SAGA_Scl_000072	G.Battaglia+,MNRAS, 383, 183, 2008	-1.55	
SAGA_Scl_000072	A.Skuladottir+,AAP, 580, A129, 2015	-1.57	
SAGA_Scl_000072	A.Chiti+,ApJ, 856, 142, 2018	-1.78	-0.22
SAGA_Scl_000072	E.N.Kirby+,ApJS, 191, 352, 2010	-1.51	
SAGA_Scl_000072	G.E.Duggan+,ApJ, 869, 50, 2018	-1.65	
SAGA_Scl_000073	E.N.Kirby+,ApJ, 705, 328, 2009	-1.1	
SAGA_Scl_000073	A.Skuladottir+,AAP, 606, A71, 2017	-1	
SAGA_Scl_000073	E.N.Kirby+,ApJ, 801, 125, 2015	-1.21	-0.75
SAGA_Scl_000073	G.Battaglia+,MNRAS, 383, 183, 2008	-0.98	
SAGA_Scl_000073	A.Skuladottir+,AAP, 580, A129, 2015	-1	
SAGA_Scl_000073	A.Chiti+,ApJ, 856, 142, 2018	-1.45	-0.5
SAGA_Scl_000073	E.N.Kirby+,ApJS, 191, 352, 2010	-0.99	
SAGA_Scl_000073	G.E.Duggan+,ApJ, 869, 50, 2018	-1.19	
SAGA_Scl_000075	A.Skuladottir+,AAP, 606, A71, 2017	-1.56	
SAGA_Scl_000075	G.Battaglia+,MNRAS, 383, 183, 2008	-1.54	
SAGA_Scl_000075	C.Lardo+,AAP, 585, A70, 2016	-1.41	-0.9
SAGA_Scl_000083	E.N.Kirby+,ApJ, 705, 328, 2009	-2.47	
SAGA_Scl_000083	A.Skuladottir+,AAP, 606, A71, 2017	-2.41	
SAGA_Scl_000083	G.Battaglia+,MNRAS, 383, 183, 2008	-2.39	
SAGA_Scl_000083	A.Skuladottir+,AAP, 580, A129, 2015	-2.41	
SAGA_Scl_000083	A.Chiti+,ApJ, 856, 142, 2018	-2.64	-0.28
SAGA_Scl_000083	E.N.Kirby+,ApJS, 191, 352, 2010	-2.49	
SAGA_Scl_000086	E.N.Kirby+,ApJ, 705, 328, 2009	-2.31	
SAGA_Scl_000086	A.Skuladottir+,AAP, 606, A71, 2017	-2.11	
SAGA_Scl_000086	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	-0.47
SAGA_Scl_000086	G.Battaglia+,MNRAS, 383, 183, 2008	-2.09	
SAGA_Scl_000086	A.Skuladottir+,AAP, 580, A129, 2015	-2.11	
SAGA_Scl_000086	E.N.Kirby+,ApJS, 191, 352, 2010	-2.34	
SAGA_Scl_000086	G.E.Duggan+,ApJ, 869, 50, 2018	-2.46	
SAGA_Scl_000099	E.N.Kirby+,ApJ, 705, 328, 2009	-1.78	
SAGA_Scl_000099	E.N.Kirby+,ApJ, 801, 125, 2015	-1.95	-0.71
SAGA_Scl_000099	A.Chiti+,ApJ, 856, 142, 2018	-2.11	-0.09
SAGA_Scl_000099	E.N.Kirby+,ApJS, 191, 352, 2010	-1.77	
SAGA_Scl_000099	G.E.Duggan+,ApJ, 869, 50, 2018	-1.94	
SAGA_Scl_000100	E.N.Kirby+,ApJ, 705, 328, 2009	-2.02	
SAGA_Scl_000100	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	0.64
SAGA_Scl_000100	E.N.Kirby+,ApJS, 191, 352, 2010	-2.05	
SAGA_Scl_000101	E.N.Kirby+,ApJ, 705, 328, 2009	-2.57	
SAGA_Scl_000101	E.N.Kirby+,ApJ, 801, 125, 2015	-2.77	-0.17
SAGA_Scl_000101	E.N.Kirby+,ApJS, 191, 352, 2010	-2.55	
SAGA_Scl_000101	G.E.Duggan+,ApJ, 869, 50, 2018	-2.76	
SAGA_Scl_000102	E.N.Kirby+,ApJ, 705, 328, 2009	-1.18	
SAGA_Scl_000102	E.N.Kirby+,ApJ, 801, 125, 2015	-1.26	-0.66
SAGA_Scl_000102	E.N.Kirby+,ApJS, 191, 352, 2010	-1.06	
SAGA_Scl_000102	G.E.Duggan+,ApJ, 869, 50, 2018	-1.25	
SAGA_Scl_000106	E.N.Kirby+,ApJ, 705, 328, 2009	-1.35	
SAGA_Scl_000106	E.N.Kirby+,ApJ, 801, 125, 2015	-1.44	-0.93
SAGA_Scl_000106	E.N.Kirby+,ApJS, 191, 352, 2010	-1.23	
SAGA_Scl_000106	G.E.Duggan+,ApJ, 869, 50, 2018	-1.43	
SAGA_Scl_000108	E.N.Kirby+,ApJ, 705, 328, 2009	-1.19	
SAGA_Scl_000108	E.N.Kirby+,ApJ, 801, 125, 2015	-1.38	-0.24
SAGA_Scl_000108	E.N.Kirby+,ApJS, 191, 352, 2010	-1.16	
SAGA_Scl_000110	E.N.Kirby+,ApJ, 705, 328, 2009	-2.14	
SAGA_Scl_000110	E.N.Kirby+,ApJ, 801, 125, 2015	-2.28	-0.66
SAGA_Scl_000110	E.N.Kirby+,ApJS, 191, 352, 2010	-2.13	
SAGA_Scl_000111	E.N.Kirby+,ApJ, 705, 328, 2009	-2.18	
SAGA_Scl_000111	E.N.Kirby+,ApJ, 801, 125, 2015	-2.32	-0.77
SAGA_Scl_000111	E.N.Kirby+,ApJS, 191, 352, 2010	-2.19	
SAGA_Scl_000111	G.E.Duggan+,ApJ, 869, 50, 2018	-2.31	
SAGA_Scl_000112	E.N.Kirby+,ApJ, 705, 328, 2009	-1.61	
SAGA_Scl_000112	E.N.Kirby+,ApJ, 801, 125, 2015	-1.76	-0.53
SAGA_Scl_000112	E.N.Kirby+,ApJS, 191, 352, 2010	-1.58	
SAGA_Scl_000112	G.E.Duggan+,ApJ, 869, 50, 2018	-1.74	
SAGA_Scl_000114	E.N.Kirby+,ApJ, 705, 328, 2009	-1.68	
SAGA_Scl_000114	E.N.Kirby+,ApJ, 801, 125, 2015	-1.76	-0.44
SAGA_Scl_000114	E.N.Kirby+,ApJS, 191, 352, 2010	-1.61	
SAGA_Scl_000116	E.N.Kirby+,ApJ, 705, 328, 2009	-1.42	
SAGA_Scl_000116	E.N.Kirby+,ApJ, 801, 125, 2015	-1.25	0.23
SAGA_Scl_000116	E.N.Kirby+,ApJS, 191, 352, 2010	-1.22	
SAGA_Scl_000117	E.N.Kirby+,ApJ, 705, 328, 2009	-1.44	
SAGA_Scl_000117	E.N.Kirby+,ApJ, 801, 125, 2015	-1.59	-0.81
SAGA_Scl_000117	E.N.Kirby+,ApJS, 191, 352, 2010	-1.36	
SAGA_Scl_000117	G.E.Duggan+,ApJ, 869, 50, 2018	-1.57	
SAGA_Scl_000120	E.N.Kirby+,ApJ, 705, 328, 2009	-1.41	
SAGA_Scl_000120	E.N.Kirby+,ApJ, 801, 125, 2015	-1.54	-0.69
SAGA_Scl_000120	E.N.Kirby+,ApJS, 191, 352, 2010	-1.34	
SAGA_Scl_000122	E.N.Kirby+,ApJ, 705, 328, 2009	-1.1	
SAGA_Scl_000122	E.N.Kirby+,ApJ, 801, 125, 2015	-1.23	-0.9
SAGA_Scl_000122	E.N.Kirby+,ApJS, 191, 352, 2010	-1.05	
SAGA_Scl_000122	G.E.Duggan+,ApJ, 869, 50, 2018	-1.22	
SAGA_Scl_000123	E.N.Kirby+,ApJ, 705, 328, 2009	-1.46	
SAGA_Scl_000123	E.N.Kirby+,ApJ, 801, 125, 2015	-1.55	-0.86
SAGA_Scl_000123	E.N.Kirby+,ApJS, 191, 352, 2010	-1.29	
SAGA_Scl_000123	G.E.Duggan+,ApJ, 869, 50, 2018	-1.53	
SAGA_Scl_000125	E.N.Kirby+,ApJ, 705, 328, 2009	-1.83	
SAGA_Scl_000125	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.75
SAGA_Scl_000125	E.N.Kirby+,ApJS, 191, 352, 2010	-1.82	
SAGA_Scl_000125	G.E.Duggan+,ApJ, 869, 50, 2018	-1.99	
SAGA_Scl_000127	E.N.Kirby+,ApJ, 705, 328, 2009	-1.34	
SAGA_Scl_000127	E.N.Kirby+,ApJ, 801, 125, 2015	-1.56	-0.48
SAGA_Scl_000127	E.N.Kirby+,ApJS, 191, 352, 2010	-1.34	
SAGA_Scl_000127	G.E.Duggan+,ApJ, 869, 50, 2018	-1.54	
SAGA_Scl_000128	E.N.Kirby+,ApJ, 705, 328, 2009	-2.99	
SAGA_Scl_000128	A.Skuladottir+,AAP, 606, A71, 2017	-2.28	
SAGA_Scl_000128	A.Chiti+,ApJ, 856, 142, 2018	-2.86	0.2
SAGA_Scl_000128	E.N.Kirby+,ApJS, 191, 352, 2010	-1.39	
SAGA_Scl_000129	E.N.Kirby+,ApJ, 705, 328, 2009	-1.31	
SAGA_Scl_000129	E.N.Kirby+,ApJ, 801, 125, 2015	-1.55	-0.76
SAGA_Scl_000129	E.N.Kirby+,ApJS, 191, 352, 2010	-1.32	
SAGA_Scl_000130	E.N.Kirby+,ApJ, 705, 328, 2009	-1.08	
SAGA_Scl_000130	E.N.Kirby+,ApJ, 801, 125, 2015	-1.23	-0.66
SAGA_Scl_000130	E.N.Kirby+,ApJS, 191, 352, 2010	-0.96	
SAGA_Scl_000130	G.E.Duggan+,ApJ, 869, 50, 2018	-1.21	
SAGA_Scl_000132	E.N.Kirby+,ApJ, 705, 328, 2009	-2.41	
SAGA_Scl_000132	E.N.Kirby+,ApJ, 801, 125, 2015	-2.52	-0.52
SAGA_Scl_000132	A.Chiti+,ApJ, 856, 142, 2018	-2.72	0.42
SAGA_Scl_000132	E.N.Kirby+,ApJS, 191, 352, 2010	-2.36	
SAGA_Scl_000132	G.E.Duggan+,ApJ, 869, 50, 2018	-2.5	
SAGA_Scl_000133	E.N.Kirby+,ApJ, 705, 328, 2009	-1.78	
SAGA_Scl_000133	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.45
SAGA_Scl_000133	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Scl_000134	E.N.Kirby+,ApJ, 705, 328, 2009	-0.91	
SAGA_Scl_000134	E.N.Kirby+,ApJ, 801, 125, 2015	-1.01	-0.69
SAGA_Scl_000134	E.N.Kirby+,ApJS, 191, 352, 2010	-0.79	
SAGA_Scl_000134	G.E.Duggan+,ApJ, 869, 50, 2018	-1	
SAGA_Scl_000135	E.N.Kirby+,ApJ, 705, 328, 2009	-1.59	
SAGA_Scl_000135	E.N.Kirby+,ApJ, 801, 125, 2015	-1.83	-0.2
SAGA_Scl_000135	E.N.Kirby+,ApJS, 191, 352, 2010	-1.66	
SAGA_Scl_000136	E.N.Kirby+,ApJ, 705, 328, 2009	-2.73	
SAGA_Scl_000136	E.N.Kirby+,ApJ, 801, 125, 2015	-2.82	0.08
SAGA_Scl_000136	A.Chiti+,ApJ, 856, 142, 2018	-3.05	0.75
SAGA_Scl_000136	E.N.Kirby+,ApJS, 191, 352, 2010	-2.68	
SAGA_Scl_000141	E.N.Kirby+,ApJ, 705, 328, 2009	-1.53	
SAGA_Scl_000141	A.Skuladottir+,AAP, 606, A71, 2017	-1.51	
SAGA_Scl_000141	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	-1.14
SAGA_Scl_000141	A.Skuladottir+,AAP, 580, A129, 2015	-1.51	
SAGA_Scl_000141	E.N.Kirby+,ApJS, 191, 352, 2010	-1.43	
SAGA_Scl_000141	G.E.Duggan+,ApJ, 869, 50, 2018	-1.71	
SAGA_Scl_000146	E.N.Kirby+,ApJ, 705, 328, 2009	-1.21	
SAGA_Scl_000146	A.Skuladottir+,AAP, 606, A71, 2017	-1.3	
SAGA_Scl_000146	E.N.Kirby+,ApJ, 801, 125, 2015	-1.37	-0.72
SAGA_Scl_000146	E.N.Kirby+,ApJS, 191, 352, 2010	-1.17	
SAGA_Scl_000146	G.E.Duggan+,ApJ, 869, 50, 2018	-1.35	
SAGA_Scl_000147	E.N.Kirby+,ApJ, 705, 328, 2009	-1.35	
SAGA_Scl_000147	E.N.Kirby+,ApJ, 801, 125, 2015	-1.6	-0.39
SAGA_Scl_000147	E.N.Kirby+,ApJS, 191, 352, 2010	-1.35	
SAGA_Scl_000148	E.N.Kirby+,ApJ, 705, 328, 2009	-1.05	
SAGA_Scl_000148	E.N.Kirby+,ApJ, 801, 125, 2015	-1.26	-0.45
SAGA_Scl_000148	E.N.Kirby+,ApJS, 191, 352, 2010	-1.03	
SAGA_Scl_000149	E.N.Kirby+,ApJ, 705, 328, 2009	-1.87	
SAGA_Scl_000149	E.N.Kirby+,ApJ, 801, 125, 2015	-1.99	-0.28
SAGA_Scl_000149	E.N.Kirby+,ApJS, 191, 352, 2010	-1.85	
SAGA_Scl_000149	G.E.Duggan+,ApJ, 869, 50, 2018	-1.98	
SAGA_Scl_000151	E.N.Kirby+,ApJ, 705, 328, 2009	-1.2	
SAGA_Scl_000151	E.N.Kirby+,ApJ, 801, 125, 2015	-1.33	-0.81
SAGA_Scl_000151	E.N.Kirby+,ApJS, 191, 352, 2010	-1.13	
SAGA_Scl_000151	G.E.Duggan+,ApJ, 869, 50, 2018	-1.31	
SAGA_Scl_000152	E.N.Kirby+,ApJ, 705, 328, 2009	-1.37	
SAGA_Scl_000152	E.N.Kirby+,ApJ, 801, 125, 2015	-1.48	-0.72
SAGA_Scl_000152	E.N.Kirby+,ApJS, 191, 352, 2010	-1.25	
SAGA_Scl_000152	G.E.Duggan+,ApJ, 869, 50, 2018	-1.46	
SAGA_Scl_000153	E.N.Kirby+,ApJ, 705, 328, 2009	-1.22	
SAGA_Scl_000153	E.N.Kirby+,ApJ, 801, 125, 2015	-1.22	-0.86
SAGA_Scl_000153	E.N.Kirby+,ApJS, 191, 352, 2010	-1.09	
SAGA_Scl_000153	G.E.Duggan+,ApJ, 869, 50, 2018	-1.21	
SAGA_Scl_000159	E.N.Kirby+,ApJ, 705, 328, 2009	-0.91	
SAGA_Scl_000159	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.28
SAGA_Scl_000159	E.N.Kirby+,ApJS, 191, 352, 2010	-0.91	
SAGA_Scl_000162	E.N.Kirby+,ApJ, 705, 328, 2009	-1.83	
SAGA_Scl_000162	E.N.Kirby+,ApJ, 801, 125, 2015	-2.04	-0.49
SAGA_Scl_000162	E.N.Kirby+,ApJS, 191, 352, 2010	-1.86	
SAGA_Scl_000162	G.E.Duggan+,ApJ, 869, 50, 2018	-2.03	
SAGA_Scl_000164	E.N.Kirby+,ApJ, 705, 328, 2009	-1.84	
SAGA_Scl_000164	E.N.Kirby+,ApJ, 801, 125, 2015	-2.09	0.04
SAGA_Scl_000164	E.N.Kirby+,ApJS, 191, 352, 2010	-1.93	
SAGA_Scl_000166	E.N.Kirby+,ApJ, 705, 328, 2009	-2.37	
SAGA_Scl_000166	E.N.Kirby+,ApJ, 801, 125, 2015	-2.67	-0.24
SAGA_Scl_000166	E.N.Kirby+,ApJS, 191, 352, 2010	-2.54	
SAGA_Scl_000167	E.N.Kirby+,ApJ, 705, 328, 2009	-2.13	
SAGA_Scl_000167	E.N.Kirby+,ApJ, 801, 125, 2015	-2.24	0.07
SAGA_Scl_000167	E.N.Kirby+,ApJS, 191, 352, 2010	-2.04	
SAGA_Scl_000169	E.N.Kirby+,ApJ, 705, 328, 2009	-1.08	
SAGA_Scl_000169	A.Skuladottir+,AAP, 606, A71, 2017	-1.29	
SAGA_Scl_000169	E.N.Kirby+,ApJ, 801, 125, 2015	-1.14	-0.8
SAGA_Scl_000169	E.N.Kirby+,ApJS, 191, 352, 2010	-0.89	
SAGA_Scl_000169	G.E.Duggan+,ApJ, 869, 50, 2018	-1.12	
SAGA_Scl_000171	E.N.Kirby+,ApJ, 705, 328, 2009	-2.25	
SAGA_Scl_000171	E.N.Kirby+,ApJ, 801, 125, 2015	-2.26	-0.07
SAGA_Scl_000171	E.N.Kirby+,ApJS, 191, 352, 2010	-2.14	
SAGA_Scl_000172	E.N.Kirby+,ApJ, 705, 328, 2009	-1.28	
SAGA_Scl_000172	E.N.Kirby+,ApJ, 801, 125, 2015	-1.35	-0.63
SAGA_Scl_000172	E.N.Kirby+,ApJS, 191, 352, 2010	-1.21	
SAGA_Scl_000172	G.E.Duggan+,ApJ, 869, 50, 2018	-1.34	
SAGA_Scl_000173	E.N.Kirby+,ApJ, 705, 328, 2009	-2.55	
SAGA_Scl_000173	A.Skuladottir+,AAP, 606, A71, 2017	-2.67	
SAGA_Scl_000173	A.Chiti+,ApJ, 856, 142, 2018	-2.59	0.22
SAGA_Scl_000173	E.N.Kirby+,ApJS, 191, 352, 2010	-2.53	
SAGA_Scl_000174	E.N.Kirby+,ApJ, 705, 328, 2009	-1.91	
SAGA_Scl_000174	E.N.Kirby+,ApJ, 801, 125, 2015	-2.2	-0.5
SAGA_Scl_000174	E.N.Kirby+,ApJS, 191, 352, 2010	-2.02	
SAGA_Scl_000175	E.N.Kirby+,ApJ, 705, 328, 2009	-1.41	
SAGA_Scl_000175	A.Skuladottir+,AAP, 606, A71, 2017	-1.59	
SAGA_Scl_000175	E.N.Kirby+,ApJ, 801, 125, 2015	-1.56	-0.2
SAGA_Scl_000175	E.N.Kirby+,ApJS, 191, 352, 2010	-1.33	
SAGA_Scl_000175	G.E.Duggan+,ApJ, 869, 50, 2018	-1.55	
SAGA_Scl_000177	E.N.Kirby+,ApJ, 705, 328, 2009	-2.13	
SAGA_Scl_000177	A.Skuladottir+,AAP, 606, A71, 2017	-2.17	
SAGA_Scl_000177	E.N.Kirby+,ApJ, 801, 125, 2015	-2.3	-0.59
SAGA_Scl_000177	E.N.Kirby+,ApJS, 191, 352, 2010	-2.17	
SAGA_Scl_000177	G.E.Duggan+,ApJ, 869, 50, 2018	-2.28	
SAGA_Scl_000178	E.N.Kirby+,ApJ, 705, 328, 2009	-1.54	
SAGA_Scl_000178	E.N.Kirby+,ApJ, 801, 125, 2015	-1.66	-0.82
SAGA_Scl_000178	E.N.Kirby+,ApJS, 191, 352, 2010	-1.42	
SAGA_Scl_000178	G.E.Duggan+,ApJ, 869, 50, 2018	-1.65	
SAGA_Scl_000179	E.N.Kirby+,ApJ, 705, 328, 2009	-1.34	
SAGA_Scl_000179	E.N.Kirby+,ApJ, 801, 125, 2015	-1.46	-0.53
SAGA_Scl_000179	E.N.Kirby+,ApJS, 191, 352, 2010	-1.29	
SAGA_Scl_000183	E.N.Kirby+,ApJ, 705, 328, 2009	-1.54	
SAGA_Scl_000183	E.N.Kirby+,ApJ, 801, 125, 2015	-1.58	0.25
SAGA_Scl_000183	E.N.Kirby+,ApJS, 191, 352, 2010	-1.42	
SAGA_Scl_000185	E.N.Kirby+,ApJ, 705, 328, 2009	-1.31	
SAGA_Scl_000185	E.N.Kirby+,ApJ, 801, 125, 2015	-1.4	-0.79
SAGA_Scl_000185	E.N.Kirby+,ApJS, 191, 352, 2010	-1.21	
SAGA_Scl_000185	G.E.Duggan+,ApJ, 869, 50, 2018	-1.38	
SAGA_Scl_000186	E.N.Kirby+,ApJ, 705, 328, 2009	-1.9	
SAGA_Scl_000186	A.Skuladottir+,AAP, 606, A71, 2017	-2.04	
SAGA_Scl_000186	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-1.16
SAGA_Scl_000186	A.Skuladottir+,AAP, 580, A129, 2015	-2.04	
SAGA_Scl_000186	E.N.Kirby+,ApJS, 191, 352, 2010	-1.89	
SAGA_Scl_000186	G.E.Duggan+,ApJ, 869, 50, 2018	-1.99	
SAGA_Scl_000190	E.N.Kirby+,ApJ, 705, 328, 2009	-1.67	
SAGA_Scl_000190	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	-0.33
SAGA_Scl_000190	E.N.Kirby+,ApJS, 191, 352, 2010	-1.51	
SAGA_Scl_000191	E.N.Kirby+,ApJ, 705, 328, 2009	-1.67	
SAGA_Scl_000191	E.N.Kirby+,ApJ, 801, 125, 2015	-1.96	-0.48
SAGA_Scl_000191	E.N.Kirby+,ApJS, 191, 352, 2010	-1.86	
SAGA_Scl_000195	E.N.Kirby+,ApJ, 705, 328, 2009	-2.25	
SAGA_Scl_000195	E.N.Kirby+,ApJ, 801, 125, 2015	-2.4	-0.6
SAGA_Scl_000195	E.N.Kirby+,ApJS, 191, 352, 2010	-2.23	
SAGA_Scl_000196	E.N.Kirby+,ApJ, 705, 328, 2009	-1.18	
SAGA_Scl_000196	E.N.Kirby+,ApJ, 801, 125, 2015	-1.24	-0.64
SAGA_Scl_000196	E.N.Kirby+,ApJS, 191, 352, 2010	-1.03	
SAGA_Scl_000197	E.N.Kirby+,ApJ, 705, 328, 2009	-1.54	
SAGA_Scl_000197	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.23
SAGA_Scl_000197	E.N.Kirby+,ApJS, 191, 352, 2010	-1.52	
SAGA_Scl_000198	E.N.Kirby+,ApJ, 705, 328, 2009	-1.19	
SAGA_Scl_000198	E.N.Kirby+,ApJ, 801, 125, 2015	-1.45	0.04
SAGA_Scl_000198	E.N.Kirby+,ApJS, 191, 352, 2010	-1.29	
SAGA_Scl_000199	E.N.Kirby+,ApJ, 705, 328, 2009	-1.39	
SAGA_Scl_000199	E.N.Kirby+,ApJ, 801, 125, 2015	-1.52	-0.53
SAGA_Scl_000199	E.N.Kirby+,ApJS, 191, 352, 2010	-1.29	
SAGA_Scl_000200	E.N.Kirby+,ApJ, 705, 328, 2009	-1.55	
SAGA_Scl_000200	E.N.Kirby+,ApJ, 801, 125, 2015	-1.61	-0.85
SAGA_Scl_000200	E.N.Kirby+,ApJS, 191, 352, 2010	-1.46	
SAGA_Scl_000200	G.E.Duggan+,ApJ, 869, 50, 2018	-1.6	
SAGA_Scl_000203	E.N.Kirby+,ApJ, 705, 328, 2009	-1.56	
SAGA_Scl_000203	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-1.14
