# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Dra_000069	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.65
SAGA_Dra_000069	E.N.Kirby+,ApJS, 191, 352, 2010	-1.53	
SAGA_Dra_000069	G.E.Duggan+,ApJ, 869, 50, 2018	-1.72	
SAGA_Dra_000070	E.N.Kirby+,ApJ, 801, 125, 2015	-1.49	0.07
SAGA_Dra_000070	E.N.Kirby+,ApJS, 191, 352, 2010	-1.2	
SAGA_Dra_000071	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	-0.02
SAGA_Dra_000071	E.N.Kirby+,ApJS, 191, 352, 2010	-2.2	
SAGA_Dra_000071	G.E.Duggan+,ApJ, 869, 50, 2018	-2.44	
SAGA_Dra_000073	E.N.Kirby+,ApJ, 801, 125, 2015	-1.97	-0.36
SAGA_Dra_000073	M.D.Shetrone+,AJ, 145, 123, 2013	-1.92	-0.41
SAGA_Dra_000073	E.N.Kirby+,ApJS, 191, 352, 2010	-1.71	
SAGA_Dra_000073	G.E.Duggan+,ApJ, 869, 50, 2018	-1.89	
SAGA_Dra_000076	E.N.Kirby+,ApJ, 801, 125, 2015	-2.4	0.22
SAGA_Dra_000076	E.N.Kirby+,ApJS, 191, 352, 2010	-2.08	
SAGA_Dra_000077	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.2
SAGA_Dra_000077	E.N.Kirby+,ApJS, 191, 352, 2010	-1.4	
SAGA_Dra_000079	E.N.Kirby+,ApJ, 801, 125, 2015	-1.85	0.02
SAGA_Dra_000079	E.N.Kirby+,ApJS, 191, 352, 2010	-1.56	
SAGA_Dra_000081	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	0.12
SAGA_Dra_000081	E.N.Kirby+,ApJS, 191, 352, 2010	-1.67	
SAGA_Dra_000082	E.N.Kirby+,ApJ, 801, 125, 2015	-1.81	-0.28
SAGA_Dra_000082	E.N.Kirby+,ApJS, 191, 352, 2010	-1.48	
SAGA_Dra_000083	M.D.Shetrone+,AJ, 145, 123, 2013	-2.32	-0.78
SAGA_Dra_000083	E.N.Kirby+,ApJS, 191, 352, 2010	-2.03	
SAGA_Dra_000085	E.N.Kirby+,ApJ, 801, 125, 2015	-2.21	-0.34
SAGA_Dra_000085	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_Dra_000085	G.E.Duggan+,ApJ, 869, 50, 2018	-2.12	
SAGA_Dra_000086	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.74
SAGA_Dra_000086	E.N.Kirby+,ApJS, 191, 352, 2010	-1.48	
SAGA_Dra_000091	E.N.Kirby+,ApJ, 801, 125, 2015	-1.49	-0.28
SAGA_Dra_000091	E.N.Kirby+,ApJS, 191, 352, 2010	-1.19	
SAGA_Dra_000092	E.N.Kirby+,ApJ, 801, 125, 2015	-1.99	-0.58
SAGA_Dra_000092	E.N.Kirby+,ApJS, 191, 352, 2010	-1.69	
SAGA_Dra_000092	G.E.Duggan+,ApJ, 869, 50, 2018	-1.89	
SAGA_Dra_000093	E.N.Kirby+,ApJ, 801, 125, 2015	-1.45	-0.57
SAGA_Dra_000093	E.N.Kirby+,ApJS, 191, 352, 2010	-1.13	
SAGA_Dra_000094	E.N.Kirby+,ApJ, 801, 125, 2015	-2.02	-0.83
SAGA_Dra_000094	E.N.Kirby+,ApJS, 191, 352, 2010	-1.69	
SAGA_Dra_000094	G.E.Duggan+,ApJ, 869, 50, 2018	-1.93	
SAGA_Dra_000099	E.N.Kirby+,ApJ, 801, 125, 2015	-2.2	-0.64
SAGA_Dra_000099	E.N.Kirby+,ApJS, 191, 352, 2010	-1.89	
SAGA_Dra_000101	E.N.Kirby+,ApJ, 801, 125, 2015	-2.52	0.08
SAGA_Dra_000101	E.N.Kirby+,ApJS, 191, 352, 2010	-2.21	
SAGA_Dra_000103	E.N.Kirby+,ApJ, 801, 125, 2015	-2.07	-0.46
SAGA_Dra_000103	E.N.Kirby+,ApJS, 191, 352, 2010	-1.76	
SAGA_Dra_000104	E.N.Kirby+,ApJ, 801, 125, 2015	-2.19	-0.05
SAGA_Dra_000104	E.N.Kirby+,ApJS, 191, 352, 2010	-1.85	
SAGA_Dra_000105	E.N.Kirby+,ApJ, 801, 125, 2015	-1.84	0
SAGA_Dra_000105	E.N.Kirby+,ApJS, 191, 352, 2010	-1.54	
SAGA_Dra_000107	E.N.Kirby+,ApJ, 801, 125, 2015	-2.02	-0.24
SAGA_Dra_000107	E.N.Kirby+,ApJS, 191, 352, 2010	-1.66	
SAGA_Dra_000108	E.N.Kirby+,ApJ, 801, 125, 2015	-2.51	-0.47
SAGA_Dra_000108	E.N.Kirby+,ApJS, 191, 352, 2010	-2.18	
SAGA_Dra_000110	E.N.Kirby+,ApJ, 801, 125, 2015	-1.87	-0.37
SAGA_Dra_000110	E.N.Kirby+,ApJS, 191, 352, 2010	-1.54	
SAGA_Dra_000111	E.N.Kirby+,ApJ, 801, 125, 2015	-1.99	-0.23
SAGA_Dra_000111	E.N.Kirby+,ApJS, 191, 352, 2010	-1.67	
SAGA_Dra_000112	E.N.Kirby+,ApJ, 801, 125, 2015	-2	-0.64
