# Object,[Fe/H],[Mg/Fe]
SAGA_Scl_000031,-1.96,0.3
SAGA_Scl_000031,-1.8,
SAGA_Scl_000031,-1.89,
SAGA_Scl_000031,-1.78,
SAGA_Scl_000031,-1.8,0.32
SAGA_Scl_000031,-1.81,0.14
SAGA_Scl_000031,-1.88,
SAGA_Scl_000032,-1.47,
SAGA_Scl_000032,-1.45,
SAGA_Scl_000032,-1.47,0.17
SAGA_Scl_000032,-1.49,
SAGA_Scl_000033,-1.9,
SAGA_Scl_000033,-1.89,
SAGA_Scl_000033,-1.9,0.24
SAGA_Scl_000034,-1.81,-0.04
SAGA_Scl_000034,-1.89,
SAGA_Scl_000034,-1.87,
SAGA_Scl_000034,-1.89,0.25
SAGA_Scl_000034,-1.83,0.16
SAGA_Scl_000034,-1.84,
SAGA_Scl_000035,-2.35,
SAGA_Scl_000035,-2.33,
SAGA_Scl_000035,-2.35,0.2
SAGA_Scl_000035,-2.78,
SAGA_Scl_000036,-1.46,
SAGA_Scl_000036,-1.44,
SAGA_Scl_000036,-1.46,-0.1
SAGA_Scl_000036,-1.62,
SAGA_Scl_000037,-0.97,-0.13
SAGA_Scl_000037,-1.08,
SAGA_Scl_000037,-1.06,
SAGA_Scl_000037,-1.07,
SAGA_Scl_000037,-1.08,-0.56
SAGA_Scl_000037,-0.85,-0.5
SAGA_Scl_000037,-1.05,
SAGA_Scl_000038,-2.01,0.4
SAGA_Scl_000038,-1.86,
SAGA_Scl_000038,-1.84,
SAGA_Scl_000038,-1.86,0.34
SAGA_Scl_000038,-2.15,
SAGA_Scl_000038,-2.17,
SAGA_Scl_000038,-1.97,0.32
SAGA_Scl_000038,-2.01,
SAGA_Scl_000039,-1.47,-0.14
SAGA_Scl_000039,-1.41,
SAGA_Scl_000039,-1.39,
SAGA_Scl_000039,-1.41,0
SAGA_Scl_000039,-1.27,-0.46
SAGA_Scl_000039,-1.35,
SAGA_Scl_000040,-1.69,
SAGA_Scl_000040,-1.67,
SAGA_Scl_000040,-1.69,0.18
SAGA_Scl_000041,-2.16,
SAGA_Scl_000041,-2.14,
SAGA_Scl_000041,-2.16,0.55
SAGA_Scl_000043,-2.21,
SAGA_Scl_000043,-1.96,
SAGA_Scl_000043,-2.43,
SAGA_Scl_000043,-1.94,
SAGA_Scl_000043,-1.96,0.32
SAGA_Scl_000043,-2.26,
SAGA_Scl_000043,-2.41,
SAGA_Scl_000044,-1.28,
SAGA_Scl_000044,-1.26,
SAGA_Scl_000044,-1.28,0.14
SAGA_Scl_000045,-1.74,-0.02
SAGA_Scl_000045,-1.71,
SAGA_Scl_000045,-1.84,
SAGA_Scl_000045,-1.69,
SAGA_Scl_000045,-1.71,0.2
SAGA_Scl_000045,-1.92,
SAGA_Scl_000045,-1.68,-0.05
SAGA_Scl_000045,-1.83,
SAGA_Scl_000046,-1.17,-0.11
SAGA_Scl_000046,-1.32,
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.32,-0.14
SAGA_Scl_000046,-1.11,-0.19
SAGA_Scl_000046,-1.3,
SAGA_Scl_000047,-2.13,
SAGA_Scl_000047,-2,
SAGA_Scl_000047,-1.98,
SAGA_Scl_000047,-2,0.38
SAGA_Scl_000047,-2.13,
SAGA_Scl_000048,-1.17,
SAGA_Scl_000048,-1.15,
SAGA_Scl_000048,-1.17,-0.25
SAGA_Scl_000049,-1.23,-0.01
SAGA_Scl_000049,-0.93,
SAGA_Scl_000049,-1.19,
SAGA_Scl_000049,-0.91,
SAGA_Scl_000049,-0.93,-0.31
SAGA_Scl_000049,-0.96,
SAGA_Scl_000049,-1.17,
SAGA_Scl_000050,-1.62,
SAGA_Scl_000050,-1.6,
SAGA_Scl_000050,-1.62,0.35
SAGA_Scl_000053,-1.48,
SAGA_Scl_000053,-1.46,
SAGA_Scl_000053,-1.48,0.07
SAGA_Scl_000054,-1.11,
SAGA_Scl_000054,-1.09,
SAGA_Scl_000054,-1.11,-0.14
SAGA_Scl_000055,-1.21,
SAGA_Scl_000055,-1.19,
SAGA_Scl_000055,-1.21,0.05
SAGA_Scl_000056,-1.1,
SAGA_Scl_000056,-1.08,
SAGA_Scl_000056,-1.1,0
SAGA_Scl_000057,-1.63,0.19
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.67,
SAGA_Scl_000057,-1.83,
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.46,-0.1
SAGA_Scl_000058,-2.44,-0.49
SAGA_Scl_000058,-2.1,
SAGA_Scl_000058,-2.83,
SAGA_Scl_000059,-1.97,
SAGA_Scl_000059,-1.95,
SAGA_Scl_000059,-1.97,0.52
SAGA_Scl_000060,-1.35,-0.13
SAGA_Scl_000060,-1.33,
SAGA_Scl_000060,-1.43,
SAGA_Scl_000060,-1.31,
SAGA_Scl_000060,-1.33,0.1
SAGA_Scl_000060,-1.24,-0.38
SAGA_Scl_000060,-1.42,
SAGA_Scl_000061,-1.22,-0.01
SAGA_Scl_000061,-1.33,
SAGA_Scl_000061,-1.31,
SAGA_Scl_000061,-1.33,0.11
SAGA_Scl_000061,-1.05,-0.39
SAGA_Scl_000062,-1.3,
SAGA_Scl_000062,-1.44,
SAGA_Scl_000062,-1.3,
SAGA_Scl_000062,-1.32,-0.04
SAGA_Scl_000062,-1.2,
SAGA_Scl_000062,-1.42,
SAGA_Scl_000064,-1.12,0.07
SAGA_Scl_000064,-1.17,
SAGA_Scl_000064,-0.98,
SAGA_Scl_000064,-0.94,-0.24
SAGA_Scl_000064,-1.15,
SAGA_Scl_000066,-1.2,0.04
SAGA_Scl_000066,-1.24,
SAGA_Scl_000066,-1.29,
SAGA_Scl_000066,-1.22,
SAGA_Scl_000066,-1.24,-0.01
SAGA_Scl_000066,-1.09,-0.16
SAGA_Scl_000066,-1.27,
SAGA_Scl_000067,-1.24,-0.5
SAGA_Scl_000067,-1.3,
SAGA_Scl_000067,-1.34,
SAGA_Scl_000067,-1.28,
SAGA_Scl_000067,-1.3,0.13
SAGA_Scl_000067,-1.08,-0.71
SAGA_Scl_000067,-1.32,
SAGA_Scl_000068,-1.45,-0.2
SAGA_Scl_000068,-1.5,
SAGA_Scl_000068,-1.51,
SAGA_Scl_000068,-1.48,
SAGA_Scl_000068,-1.5,0.1
SAGA_Scl_000068,-1.38,-0.84
SAGA_Scl_000068,-1.49,
SAGA_Scl_000069,-0.84,-0.16
SAGA_Scl_000069,-1.24,
SAGA_Scl_000069,-1.23,
SAGA_Scl_000069,-1.24,
SAGA_Scl_000069,-0.81,-0.59
SAGA_Scl_000070,-2.26,
SAGA_Scl_000070,-2.24,
SAGA_Scl_000070,-2.26,0.61
SAGA_Scl_000070,-2.66,
SAGA_Scl_000070,-2.09,
SAGA_Scl_000071,-1.38,
SAGA_Scl_000071,-1.36,
SAGA_Scl_000071,-1.38,0.12
SAGA_Scl_000072,-1.54,0.26
SAGA_Scl_000072,-1.57,
SAGA_Scl_000072,-1.66,
SAGA_Scl_000072,-1.55,
SAGA_Scl_000072,-1.57,0.36
SAGA_Scl_000072,-1.78,
SAGA_Scl_000072,-1.51,0.14
SAGA_Scl_000072,-1.65,
SAGA_Scl_000073,-1.1,-0.31
SAGA_Scl_000073,-1,
SAGA_Scl_000073,-1.21,
SAGA_Scl_000073,-0.98,
SAGA_Scl_000073,-1,-0.12
SAGA_Scl_000073,-1.45,
SAGA_Scl_000073,-0.99,-0.44
SAGA_Scl_000073,-1.19,
SAGA_Scl_000074,-1.41,0.03
SAGA_Scl_000074,-1.53,
SAGA_Scl_000074,-1.51,
SAGA_Scl_000074,-1.53,0.31
SAGA_Scl_000074,-1.39,-0.07
SAGA_Scl_000076,-1.18,
SAGA_Scl_000076,-1.16,
SAGA_Scl_000076,-1.18,0.11
SAGA_Scl_000077,-1.64,-0.13
SAGA_Scl_000077,-1.68,
SAGA_Scl_000077,-1.65,
SAGA_Scl_000077,-1.68,0.49
SAGA_Scl_000077,-1.6,-0.19
SAGA_Scl_000078,-1.4,-0.06
SAGA_Scl_000078,-1.49,
SAGA_Scl_000078,-1.47,
SAGA_Scl_000078,-1.49,0.18
SAGA_Scl_000078,-1.39,-0.04
SAGA_Scl_000079,-1.81,
SAGA_Scl_000079,-1.79,
SAGA_Scl_000079,-1.81,0.33
SAGA_Scl_000080,-1.21,-0.1
SAGA_Scl_000080,-1.24,
SAGA_Scl_000080,-1.22,
SAGA_Scl_000080,-1.24,-0.22
SAGA_Scl_000080,-1.04,-0.46
SAGA_Scl_000082,-1.31,-0.11
SAGA_Scl_000082,-1.16,
SAGA_Scl_000082,-1.14,
SAGA_Scl_000082,-1.16,0
SAGA_Scl_000082,-1.19,-0.25
SAGA_Scl_000083,-2.47,
SAGA_Scl_000083,-2.41,
SAGA_Scl_000083,-2.39,
SAGA_Scl_000083,-2.41,0.4
SAGA_Scl_000083,-2.64,
SAGA_Scl_000083,-2.49,
SAGA_Scl_000084,-1.56,
SAGA_Scl_000084,-1.54,
SAGA_Scl_000084,-1.56,0.43
SAGA_Scl_000085,-1.22,
SAGA_Scl_000085,-1.19,
SAGA_Scl_000085,-1.22,-0.11
SAGA_Scl_000085,-1.07,-0.31
SAGA_Scl_000086,-2.31,0.08
SAGA_Scl_000086,-2.11,
SAGA_Scl_000086,-2.48,
SAGA_Scl_000086,-2.09,
SAGA_Scl_000086,-2.11,0.55
SAGA_Scl_000086,-2.34,0.21
SAGA_Scl_000086,-2.46,
SAGA_Scl_000087,-1.77,
SAGA_Scl_000087,-1.75,
SAGA_Scl_000087,-1.77,0.25
SAGA_Scl_000088,-1.37,0.72
SAGA_Scl_000088,-1.53,
SAGA_Scl_000088,-1.51,
SAGA_Scl_000088,-1.53,0.04
SAGA_Scl_000088,-1.23,
SAGA_Scl_000089,-1.15,
SAGA_Scl_000089,-1.13,
SAGA_Scl_000089,-1.15,0.13
SAGA_Scl_000090,-1.24,0.15
SAGA_Scl_000090,-1.32,
SAGA_Scl_000090,-1.3,
SAGA_Scl_000090,-1.32,0.07
SAGA_Scl_000090,-1.19,0
SAGA_Scl_000091,-2.27,
SAGA_Scl_000091,-2.25,
SAGA_Scl_000091,-2.27,0.65
SAGA_Scl_000092,-1.9,
SAGA_Scl_000092,-1.88,
SAGA_Scl_000092,-1.9,0.56
SAGA_Scl_000093,-1.65,
SAGA_Scl_000093,-1.63,
SAGA_Scl_000093,-1.65,0.26
SAGA_Scl_000095,-1.41,
SAGA_Scl_000095,-1.39,
SAGA_Scl_000095,-1.41,0.11
SAGA_Scl_000098,-1.89,0.2
SAGA_Scl_000098,-1.78,-0.04
SAGA_Scl_000098,-1.93,
SAGA_Scl_000099,-1.78,0.01
SAGA_Scl_000099,-1.95,
SAGA_Scl_000099,-2.11,
SAGA_Scl_000099,-1.77,-0.04
SAGA_Scl_000099,-1.94,
SAGA_Scl_000100,-2.02,0.38
SAGA_Scl_000100,-1.72,
SAGA_Scl_000100,-2.05,0.65
SAGA_Scl_000102,-1.18,-0.24
SAGA_Scl_000102,-1.26,
SAGA_Scl_000102,-1.06,-0.29
SAGA_Scl_000102,-1.25,
SAGA_Scl_000103,-1.92,-0.34
SAGA_Scl_000103,-1.9,0.09
SAGA_Scl_000104,-1.02,0.52
SAGA_Scl_000104,-1.07,0.32
SAGA_Scl_000105,-2.21,
SAGA_Scl_000105,-2.07,0.83
SAGA_Scl_000106,-1.35,-0.18
SAGA_Scl_000106,-1.44,
SAGA_Scl_000106,-1.23,-0.26
SAGA_Scl_000106,-1.43,
SAGA_Scl_000107,-1.84,
SAGA_Scl_000107,-1.92,
SAGA_Scl_000107,-1.83,-0.62
SAGA_Scl_000107,-1.91,
SAGA_Scl_000108,-1.19,0.95
SAGA_Scl_000108,-1.38,
SAGA_Scl_000108,-1.16,0.72
SAGA_Scl_000109,-1.97,0.72
SAGA_Scl_000109,-2.21,
SAGA_Scl_000110,-2.14,0.66
SAGA_Scl_000110,-2.28,
SAGA_Scl_000110,-2.13,0.6
SAGA_Scl_000111,-2.18,0.1
SAGA_Scl_000111,-2.32,
SAGA_Scl_000111,-2.19,0.11
SAGA_Scl_000111,-2.31,
SAGA_Scl_000115,-1.77,0.81
SAGA_Scl_000115,-1.84,0.99
SAGA_Scl_000117,-1.44,0.09
SAGA_Scl_000117,-1.59,
SAGA_Scl_000117,-1.36,-0.03
SAGA_Scl_000117,-1.57,
SAGA_Scl_000119,-1.36,0.54
SAGA_Scl_000119,-1.27,0.51
SAGA_Scl_000120,-1.41,-0.39
SAGA_Scl_000120,-1.54,
SAGA_Scl_000120,-1.34,-0.39
SAGA_Scl_000122,-1.1,-0.12
SAGA_Scl_000122,-1.23,
SAGA_Scl_000122,-1.05,-0.25
SAGA_Scl_000122,-1.22,
SAGA_Scl_000123,-1.46,0.1
SAGA_Scl_000123,-1.55,
SAGA_Scl_000123,-1.29,-0.18
SAGA_Scl_000123,-1.53,
SAGA_Scl_000124,-1.57,0.39
SAGA_Scl_000124,-1.6,0.51
SAGA_Scl_000125,-1.83,-0.01
SAGA_Scl_000125,-2.01,
SAGA_Scl_000125,-1.82,-0.08
SAGA_Scl_000125,-1.99,
SAGA_Scl_000126,-1.21,-0.14
SAGA_Scl_000126,-1.31,
SAGA_Scl_000126,-1.1,-0.23
SAGA_Scl_000126,-1.29,
SAGA_Scl_000127,-1.34,0.17
SAGA_Scl_000127,-1.56,
SAGA_Scl_000127,-1.34,0.18
SAGA_Scl_000127,-1.54,
SAGA_Scl_000128,-2.99,
SAGA_Scl_000128,-2.28,
SAGA_Scl_000128,-2.86,
SAGA_Scl_000128,-1.39,-0.02
SAGA_Scl_000130,-1.08,-0.01
SAGA_Scl_000130,-1.23,
SAGA_Scl_000130,-0.96,-0.31
SAGA_Scl_000130,-1.21,
SAGA_Scl_000131,-1.39,-0.2
SAGA_Scl_000131,-1.39,
SAGA_Scl_000131,-1.42,-0.09
SAGA_Scl_000132,-2.41,
SAGA_Scl_000132,-2.52,
SAGA_Scl_000132,-2.72,
SAGA_Scl_000132,-2.36,0.43
SAGA_Scl_000132,-2.5,
SAGA_Scl_000134,-0.91,-0.07
SAGA_Scl_000134,-1.01,
SAGA_Scl_000134,-0.79,-0.29
SAGA_Scl_000134,-1,
SAGA_Scl_000135,-1.59,0.69
SAGA_Scl_000135,-1.83,
SAGA_Scl_000135,-1.66,0.35
SAGA_Scl_000137,-2.01,0.67
SAGA_Scl_000137,-2.17,
SAGA_Scl_000137,-2.06,0.8
SAGA_Scl_000138,-0.89,-0.27
SAGA_Scl_000138,-0.79,-0.4
SAGA_Scl_000139,-1.2,-0.14
SAGA_Scl_000139,-1.13,-0.29
SAGA_Scl_000140,-1.7,0.61
SAGA_Scl_000140,-1.77,0.56
SAGA_Scl_000141,-1.53,0.19
SAGA_Scl_000141,-1.51,
SAGA_Scl_000141,-1.72,
SAGA_Scl_000141,-1.51,-0.02
SAGA_Scl_000141,-1.43,
SAGA_Scl_000141,-1.71,
SAGA_Scl_000143,-0.89,-0.26
SAGA_Scl_000143,-1.03,
SAGA_Scl_000143,-0.85,-0.53
SAGA_Scl_000143,-1.02,
SAGA_Scl_000144,-1.31,0.28
SAGA_Scl_000145,-0.98,0.66
SAGA_Scl_000146,-1.21,-0.15
SAGA_Scl_000146,-1.3,
SAGA_Scl_000146,-1.37,
SAGA_Scl_000146,-1.17,-0.09
SAGA_Scl_000146,-1.35,
SAGA_Scl_000149,-1.87,0.22
SAGA_Scl_000149,-1.99,
SAGA_Scl_000149,-1.85,
SAGA_Scl_000149,-1.98,
SAGA_Scl_000150,-1.99,
SAGA_Scl_000150,-1.95,0.76
SAGA_Scl_000151,-1.2,-0.05
SAGA_Scl_000151,-1.33,
SAGA_Scl_000151,-1.13,-0.21
SAGA_Scl_000151,-1.31,
SAGA_Scl_000152,-1.37,-0.3
SAGA_Scl_000152,-1.48,
SAGA_Scl_000152,-1.25,
SAGA_Scl_000152,-1.46,
SAGA_Scl_000153,-1.22,-0.09
SAGA_Scl_000153,-1.22,
SAGA_Scl_000153,-1.09,-0.44
SAGA_Scl_000153,-1.21,
SAGA_Scl_000154,-1.38,0.47
SAGA_Scl_000154,-1.36,0.32
SAGA_Scl_000156,-1.88,0.63
SAGA_Scl_000156,-1.86,0.37
SAGA_Scl_000157,-1.87,0.28
SAGA_Scl_000157,-1.9,0.09
SAGA_Scl_000162,-1.83,0.39
SAGA_Scl_000162,-2.04,
SAGA_Scl_000162,-1.86,0.38
SAGA_Scl_000162,-2.03,
SAGA_Scl_000163,-1.19,-0.17
SAGA_Scl_000163,-1.16,-0.57
SAGA_Scl_000164,-1.84,0.87
SAGA_Scl_000164,-2.09,
SAGA_Scl_000164,-1.93,0.77
SAGA_Scl_000165,-1.76,0.36
SAGA_Scl_000165,-1.9,
SAGA_Scl_000165,-1.73,0.27
SAGA_Scl_000165,-1.89,
SAGA_Scl_000167,-2.13,0.4
SAGA_Scl_000167,-2.24,
SAGA_Scl_000167,-2.04,
SAGA_Scl_000169,-1.08,-0.11
SAGA_Scl_000169,-1.29,
SAGA_Scl_000169,-1.14,
SAGA_Scl_000169,-0.89,-0.48
SAGA_Scl_000169,-1.12,
SAGA_Scl_000170,-1.86,0.27
SAGA_Scl_000171,-2.25,
SAGA_Scl_000171,-2.26,
SAGA_Scl_000171,-2.14,0.6
SAGA_Scl_000175,-1.41,-0.12
SAGA_Scl_000175,-1.59,
SAGA_Scl_000175,-1.56,
SAGA_Scl_000175,-1.33,
SAGA_Scl_000175,-1.55,
SAGA_Scl_000177,-2.13,0.2
SAGA_Scl_000177,-2.17,
SAGA_Scl_000177,-2.3,
SAGA_Scl_000177,-2.17,0.42
SAGA_Scl_000177,-2.28,
SAGA_Scl_000178,-1.54,0.2
SAGA_Scl_000178,-1.66,
SAGA_Scl_000178,-1.42,-0.25
SAGA_Scl_000178,-1.65,
SAGA_Scl_000179,-1.34,
SAGA_Scl_000179,-1.46,
SAGA_Scl_000179,-1.29,-0.42
SAGA_Scl_000180,-1.58,0.2
SAGA_Scl_000180,-1.62,0.13
SAGA_Scl_000183,-1.54,
SAGA_Scl_000183,-1.58,
SAGA_Scl_000183,-1.42,0.11
SAGA_Scl_000184,-2.29,
SAGA_Scl_000184,-1.96,0.93
SAGA_Scl_000185,-1.31,-0.01
SAGA_Scl_000185,-1.4,
SAGA_Scl_000185,-1.21,-0.17
SAGA_Scl_000185,-1.38,
SAGA_Scl_000186,-1.9,0.19
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-2.01,
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-1.89,0.1
SAGA_Scl_000186,-1.99,
SAGA_Scl_000188,-2.09,0.27
SAGA_Scl_000188,-2.06,
SAGA_Scl_000189,-1.95,0.28
SAGA_Scl_000189,-1.92,0.28
SAGA_Scl_000190,-1.67,
SAGA_Scl_000190,-1.72,
SAGA_Scl_000190,-1.51,0.61
SAGA_Scl_000192,-1.13,-0.09
SAGA_Scl_000192,-1.07,-0.17
SAGA_Scl_000193,-1.08,-0.34
SAGA_Scl_000193,-0.93,-0.57
SAGA_Scl_000196,-1.18,-0.11
SAGA_Scl_000196,-1.24,
SAGA_Scl_000196,-1.03,-0.29
SAGA_Scl_000198,-1.19,-0.11
SAGA_Scl_000198,-1.45,
SAGA_Scl_000198,-1.29,0.2
SAGA_Scl_000199,-1.39,0.02
SAGA_Scl_000199,-1.52,
SAGA_Scl_000199,-1.29,0.14
SAGA_Scl_000200,-1.55,0.29
SAGA_Scl_000200,-1.61,
SAGA_Scl_000200,-1.46,0.17
SAGA_Scl_000200,-1.6,
SAGA_Scl_000202,-1.05,-0.13
SAGA_Scl_000202,-1.27,
SAGA_Scl_000202,-0.93,-0.19
SAGA_Scl_000204,-2.32,0.74
SAGA_Scl_000204,-2.36,
SAGA_Scl_000205,-1.33,
SAGA_Scl_000205,-1.41,
SAGA_Scl_000205,-1.24,-0.62
SAGA_Scl_000205,-1.39,
SAGA_Scl_000206,-1.33,0.03
SAGA_Scl_000206,-1.27,
SAGA_Scl_000206,-1.05,-0.5
SAGA_Scl_000206,-1.26,
SAGA_Scl_000207,-1.92,0.15
SAGA_Scl_000207,-1.97,0.15
SAGA_Scl_000208,-1.83,0.42
SAGA_Scl_000208,-1.96,
SAGA_Scl_000208,-1.78,0.37
SAGA_Scl_000208,-1.94,
SAGA_Scl_000210,-1.31,-0.02
SAGA_Scl_000210,-1.35,0.01
SAGA_Scl_000212,-1.58,0.45
SAGA_Scl_000212,-1.75,
SAGA_Scl_000212,-1.59,0.47
SAGA_Scl_000213,-1.29,-0.24
SAGA_Scl_000213,-1.44,
SAGA_Scl_000213,-1.27,-0.04
SAGA_Scl_000214,-1.18,-0.33
SAGA_Scl_000214,-1.09,-0.48
SAGA_Scl_000215,-1.42,0.12
SAGA_Scl_000215,-1.57,
SAGA_Scl_000215,-1.59,
SAGA_Scl_000215,-1.42,0.03
SAGA_Scl_000215,-1.55,
SAGA_Scl_000216,-1.3,-0.15
SAGA_Scl_000216,-1.43,
SAGA_Scl_000216,-1.23,-0.25
SAGA_Scl_000216,-1.41,
SAGA_Scl_000218,-1.62,0.31
SAGA_Scl_000218,-1.72,
SAGA_Scl_000218,-1.57,0.15
SAGA_Scl_000218,-1.71,
SAGA_Scl_000219,-0.96,-0.6
SAGA_Scl_000219,-1.07,
SAGA_Scl_000219,-0.9,-0.65
SAGA_Scl_000219,-1.06,
SAGA_Scl_000220,-1.65,0.01
SAGA_Scl_000220,-1.81,
SAGA_Scl_000220,-1.65,0.07
SAGA_Scl_000220,-1.79,
SAGA_Scl_000222,-0.92,-0.7
SAGA_Scl_000222,-1.09,
SAGA_Scl_000222,-0.88,-0.46
SAGA_Scl_000225,-0.84,0.15
SAGA_Scl_000225,-0.87,0.08
SAGA_Scl_000226,-2.09,0.45
SAGA_Scl_000226,-1.99,
SAGA_Scl_000226,-1.97,0.08
SAGA_Scl_000226,-1.98,
SAGA_Scl_000228,-1.41,0.24
SAGA_Scl_000228,-1.41,0.28
SAGA_Scl_000230,-1.57,0.38
SAGA_Scl_000230,-1.51,0.26
SAGA_Scl_000233,-1.77,0.28
SAGA_Scl_000233,-1.9,
SAGA_Scl_000233,-1.77,0.21
SAGA_Scl_000233,-1.88,
SAGA_Scl_000234,-1.64,0.18
SAGA_Scl_000234,-1.67,
SAGA_Scl_000234,-1.7,
SAGA_Scl_000234,-1.53,0.12
SAGA_Scl_000234,-1.66,
SAGA_Scl_000236,-1.38,0.44
SAGA_Scl_000236,-1.27,0.26
SAGA_Scl_000238,-1.24,0.1
SAGA_Scl_000238,-1.18,
SAGA_Scl_000239,-1.08,-0.13
SAGA_Scl_000239,-1,-0.28
SAGA_Scl_000240,-2.24,0.52
SAGA_Scl_000240,-2.32,
SAGA_Scl_000240,-2.29,0.5
SAGA_Scl_000241,-1.18,-0.34
SAGA_Scl_000241,-1.3,
SAGA_Scl_000241,-1.12,-0.29
SAGA_Scl_000241,-1.29,
SAGA_Scl_000242,-2.4,0.4
SAGA_Scl_000242,-2.59,
SAGA_Scl_000242,-2.41,0.32
SAGA_Scl_000242,-2.58,
SAGA_Scl_000245,-1.74,0.36
SAGA_Scl_000245,-1.67,0.21
SAGA_Scl_000246,-1.25,-0.71
SAGA_Scl_000246,-1.42,
SAGA_Scl_000246,-1.23,
SAGA_Scl_000246,-1.41,
SAGA_Scl_000247,-1.93,0.23
SAGA_Scl_000247,-1.96,
SAGA_Scl_000247,-1.8,
SAGA_Scl_000248,-2.15,
SAGA_Scl_000248,-2.13,0.46
SAGA_Scl_000249,-1.31,-0.01
SAGA_Scl_000249,-1.37,
SAGA_Scl_000249,-1.43,
SAGA_Scl_000249,-1.16,-0.29
SAGA_Scl_000249,-1.41,
SAGA_Scl_000253,-1.11,
SAGA_Scl_000253,-1.25,
SAGA_Scl_000253,-1.09,0.04
SAGA_Scl_000253,-1.24,
SAGA_Scl_000255,-1.16,0.36
SAGA_Scl_000255,-1.38,
SAGA_Scl_000255,-1.13,0.14
SAGA_Scl_000256,-1.18,-0.13
SAGA_Scl_000256,-1.31,
SAGA_Scl_000256,-1.07,-0.31
SAGA_Scl_000256,-1.3,
SAGA_Scl_000258,-1.79,0.2
SAGA_Scl_000258,-1.74,
SAGA_Scl_000261,-1.56,
SAGA_Scl_000261,-1.49,-0.89
SAGA_Scl_000262,-1.95,0.31
SAGA_Scl_000262,-2.1,
SAGA_Scl_000262,-1.92,0.37
SAGA_Scl_000262,-2.08,
SAGA_Scl_000263,-1.47,0.18
SAGA_Scl_000263,-1.13,-0.27
SAGA_Scl_000264,-1.97,0.45
SAGA_Scl_000264,-2.08,
SAGA_Scl_000264,-1.92,0.13
SAGA_Scl_000264,-2.07,
SAGA_Scl_000265,-1.11,-0.23
SAGA_Scl_000265,-1.27,
SAGA_Scl_000265,-1.04,
SAGA_Scl_000265,-1.25,
SAGA_Scl_000268,-1.68,0.11
SAGA_Scl_000268,-1.6,-0.12
SAGA_Scl_000268,-1.92,
SAGA_Scl_000269,-1.71,0.4
SAGA_Scl_000269,-1.78,
SAGA_Scl_000269,-1.68,0.4
SAGA_Scl_000271,-1.32,-0.05
SAGA_Scl_000271,-1.4,
SAGA_Scl_000271,-1.21,-0.14
SAGA_Scl_000271,-1.39,
SAGA_Scl_000272,-1.48,0.66
SAGA_Scl_000272,-1.52,0.42
SAGA_Scl_000273,-1.96,0.73
SAGA_Scl_000273,-1.95,0.69
SAGA_Scl_000275,-1.37,-0.47
SAGA_Scl_000275,-1.54,
SAGA_Scl_000275,-1.4,-0.29
SAGA_Scl_000275,-1.53,
SAGA_Scl_000276,-1,0.24
SAGA_Scl_000276,-0.85,-0.06
SAGA_Scl_000277,-2.05,0.77
SAGA_Scl_000277,-2.27,
SAGA_Scl_000277,-2.09,0.7
SAGA_Scl_000277,-2.25,
SAGA_Scl_000279,-1.45,0.3
SAGA_Scl_000279,-1.37,0.19
SAGA_Scl_000280,-1.27,0.11
SAGA_Scl_000280,-1.61,
SAGA_Scl_000280,-1.18,0.09
SAGA_Scl_000281,-1.62,0.18
SAGA_Scl_000281,-1.83,
SAGA_Scl_000281,-1.66,0.38
SAGA_Scl_000282,-1.17,-0.03
SAGA_Scl_000282,-1.02,-0.19
SAGA_Scl_000282,-1.46,
SAGA_Scl_000283,-1.78,0.35
SAGA_Scl_000283,-1.88,
SAGA_Scl_000283,-1.7,0.31
SAGA_Scl_000283,-1.86,
SAGA_Scl_000284,-1.21,0.01
SAGA_Scl_000284,-1.16,-0.16
SAGA_Scl_000285,-2.37,
SAGA_Scl_000285,-2.44,
SAGA_Scl_000285,-2.27,0.81
SAGA_Scl_000286,-1.14,0.09
SAGA_Scl_000286,-1,-0.09
SAGA_Scl_000287,-1.25,-0.15
SAGA_Scl_000287,-1.21,-0.27
SAGA_Scl_000288,-1.25,0.13
SAGA_Scl_000288,-1.38,
SAGA_Scl_000288,-1.14,0.11
SAGA_Scl_000288,-1.37,
SAGA_Scl_000290,-1.97,0.5
SAGA_Scl_000290,-2.03,0.46
SAGA_Scl_000291,-1.21,-0.01
SAGA_Scl_000291,-1.11,-0.2
SAGA_Scl_000293,-1.27,-0.86
SAGA_Scl_000293,-1.37,
SAGA_Scl_000293,-1.18,-0.73
SAGA_Scl_000293,-1.36,
SAGA_Scl_000294,-1.26,-0.04
SAGA_Scl_000294,-1.37,
SAGA_Scl_000294,-1.16,-0.15
SAGA_Scl_000294,-1.35,
SAGA_Scl_000296,-1.13,0.07
SAGA_Scl_000296,-1.07,-0.11
SAGA_Scl_000297,-1.12,0.16
SAGA_Scl_000297,-0.91,-0.31
SAGA_Scl_000298,-3.78,
SAGA_Scl_000298,-3.68,0.58
SAGA_Scl_000298,-3.63,
SAGA_Scl_000298,-3.7,
