# Object,[Fe/H],[Ti/Fe]
SAGA_For_001347,-1.17,
SAGA_For_001347,-1,0.43
SAGA_For_001348,-0.69,
SAGA_For_001348,-0.71,-0.92
SAGA_For_001349,-1.24,
SAGA_For_001349,-1.08,-0.2
SAGA_For_001350,-1.64,
SAGA_For_001350,-1.43,0.83
SAGA_For_001351,-0.95,-0.17
SAGA_For_001353,-0.56,-0.33
SAGA_For_001354,-1.46,
SAGA_For_001354,-1.31,0.57
SAGA_For_001355,-0.79,-0.29
SAGA_For_001356,-0.76,-0.46
SAGA_For_001357,-0.4,
SAGA_For_001357,-0.22,-0.42
SAGA_For_001358,-0.9,-0.05
SAGA_For_001359,-1.35,-0.44
SAGA_For_001360,-0.84,-0.1
SAGA_For_001361,-1.43,
SAGA_For_001361,-1.1,-0.63
SAGA_For_001363,-0.77,-0.36
SAGA_For_001364,-0.63,-0.38
SAGA_For_001365,-0.98,-0.05
SAGA_For_001366,-0.88,-0.12
SAGA_For_001367,-0.82,-0.72
SAGA_For_001368,-1.08,-0.34
SAGA_For_001369,-0.87,-0.41
SAGA_For_001370,-1.42,0.09
SAGA_For_001371,-0.85,-0.26
SAGA_For_001372,-0.61,-0.32
SAGA_For_001373,-0.96,-0.24
SAGA_For_001374,-0.73,-0.03
SAGA_For_001375,-1.16,-0.03
SAGA_For_001376,-1.04,0.15
SAGA_For_001378,-0.85,-0.53
SAGA_For_001379,-1.12,-0.25
SAGA_For_001381,-0.63,-0.36
SAGA_For_001382,-0.63,-0.93
SAGA_For_001383,-0.81,-0.08
SAGA_For_001384,-0.38,-0.63
SAGA_For_001385,-0.86,-0.29
SAGA_For_001388,-1.6,-0.1
SAGA_For_001390,-2.05,0.57
SAGA_For_001396,-0.64,-0.39
SAGA_For_001398,-0.96,0.4
SAGA_For_001403,-1.39,-0.19
SAGA_For_001410,-2.4,-0.02
SAGA_For_001414,-0.6,0.11
SAGA_For_001417,-0.99,0.17
SAGA_For_001418,-1.09,-0.22
SAGA_For_001420,-0.95,0.16
SAGA_For_001421,-0.92,0.22
SAGA_For_001422,-1.02,-0.04
SAGA_For_001424,-0.81,-0.06
SAGA_For_001425,-0.98,-0.48
SAGA_For_001426,-1.79,0.1
SAGA_For_001428,-0.86,-0.16
SAGA_For_001429,-1.24,0.07
SAGA_For_001432,-1.11,-0.15
SAGA_For_001433,-2.55,0.72
SAGA_For_001438,-1.57,0.07
SAGA_For_001439,-0.97,0.07
SAGA_For_001440,-1.02,0.39
SAGA_For_001441,-1.68,0.15
SAGA_For_001442,-1.39,0.46
SAGA_For_001445,-1.05,-0.11
SAGA_For_001447,-0.76,-0.39
SAGA_For_001450,-1.07,-0.06
SAGA_For_001453,-1.43,0.1
SAGA_For_001454,-1.06,0.66
SAGA_For_001456,-0.81,-0.47
SAGA_For_001457,-0.94,0.37
SAGA_For_001459,-1.66,0.26
SAGA_For_001460,-0.85,0.01
SAGA_For_001462,-1.44,0.02
SAGA_For_001466,-0.82,0.12
SAGA_For_001468,-0.9,-0.05
SAGA_For_001469,-1.92,0.1
SAGA_For_001470,-1.08,0.07
SAGA_For_001473,-1.48,-0.42
SAGA_For_001476,-0.89,-0.05
SAGA_For_001477,-0.99,-0.19
SAGA_For_001478,-0.95,-0.22
SAGA_For_001479,-1.35,0
SAGA_For_001480,-0.89,0.01
SAGA_For_001482,-2.68,0.47
SAGA_For_001483,-0.92,-0.56
SAGA_For_001486,-1.51,-0.14
SAGA_For_001486,-1.56,-0.21
SAGA_For_001487,-1.12,0.04
SAGA_For_001488,-1.02,-0.3
SAGA_For_001489,-1,-0.2
SAGA_For_001491,-1.06,0.05
SAGA_For_001492,-0.91,0.12
SAGA_For_001494,-1.01,-0.02
SAGA_For_001495,-0.77,-0.19
SAGA_For_001500,-1.18,-0.15
SAGA_For_001501,-1.04,0.18
SAGA_For_001502,-0.96,-0.41
SAGA_For_001503,-0.85,-0.13
SAGA_For_001504,-0.98,0.14
SAGA_For_001506,-1.49,0.22
SAGA_For_001507,-0.85,-0.47
SAGA_For_001508,-0.97,-0.13
SAGA_For_001509,-0.78,0.02
SAGA_For_001510,-1.09,0.17
SAGA_For_001511,-1.18,-0.18
SAGA_For_001512,-0.99,-0.07
SAGA_For_001514,-1.13,0.51
SAGA_For_001515,-0.9,0.14
SAGA_For_001517,-1.13,0.05
SAGA_For_001518,-1.15,0.03
SAGA_For_001519,-1.28,0
SAGA_For_001520,-1.22,-0.22
SAGA_For_001522,-2.17,1.05
SAGA_For_001526,-0.91,0.06
SAGA_For_001527,-1.51,0.05
SAGA_For_001529,-0.97,-0.27
SAGA_For_001530,-0.8,-0.28
SAGA_For_001536,-1.38,0.49
SAGA_For_001537,-1.52,0.26
SAGA_For_001539,-0.54,-0.56
SAGA_For_001542,-1.7,0.12
SAGA_For_001544,-1.01,-0.17
SAGA_For_001545,-0.86,0.3
SAGA_For_001546,-0.48,-0.21
SAGA_For_001547,-0.88,0.07
SAGA_For_001548,-0.83,0.08
SAGA_For_001549,-0.85,0.16
SAGA_For_001551,-1.02,-0.32
SAGA_For_001552,-1.8,0.06
SAGA_For_001553,-1.4,0.25
SAGA_For_001554,-0.7,-0.36
SAGA_For_001555,-1.56,0.13
SAGA_For_001556,-1.97,0.61
SAGA_For_001557,-1.06,0.01
SAGA_For_001559,-0.97,0.11
SAGA_For_001560,-0.74,0.11
SAGA_For_001561,-0.48,-0.63
SAGA_For_001562,-0.9,0.03
SAGA_For_001563,-0.87,0.46
SAGA_For_001564,-0.6,-0.02
SAGA_For_001566,-1.57,0.57
SAGA_For_001569,-0.84,0.12
SAGA_For_001572,-1.76,0.21
SAGA_For_001575,-1.87,-0.15
SAGA_For_001576,-1.15,-0.45
SAGA_For_001577,-0.77,-0.69
SAGA_For_001579,-0.73,-0.14
SAGA_For_001580,-0.93,0.2
SAGA_For_001581,-1.55,-0.08
SAGA_For_001582,-1.77,0.01
SAGA_For_001583,-1.05,-0.16
SAGA_For_001586,-0.96,-0.1
SAGA_For_001589,-1.12,0.22
SAGA_For_001591,-0.9,0.11
SAGA_For_001596,-1.11,0.27
SAGA_For_001599,-1.27,0.09
SAGA_For_001602,-1.11,0.08
SAGA_For_001604,-1.11,0.22
SAGA_For_001605,-1.72,0.34
SAGA_For_001606,-1.31,0.08
SAGA_For_001607,-0.88,0.08
SAGA_For_001609,-1.12,0.4
SAGA_For_001612,-1.89,0.25
SAGA_For_001619,-0.9,0.19
SAGA_For_001620,-1.19,0.15
SAGA_For_001624,-0.75,0.12
SAGA_For_001625,-0.75,-0.04
SAGA_For_001627,-0.98,-0.07
SAGA_For_001628,-0.86,-0.05
SAGA_For_001629,-1.12,0.04
SAGA_For_001631,-0.99,0.26
SAGA_For_001632,-1.04,0.22
SAGA_For_001636,-1.05,-0.06
SAGA_For_001643,-1.27,0.25
SAGA_For_001644,-0.77,0.05
SAGA_For_001646,-0.89,-0.12
SAGA_For_001647,-1.24,0.29
SAGA_For_001648,-0.88,-0.13
SAGA_For_001649,-0.99,0.17
SAGA_For_001650,-1.16,0.12
SAGA_For_001653,-0.9,0.19
SAGA_For_001659,-1.03,0.31
SAGA_For_001662,-1.39,0.58
SAGA_For_001666,-1.39,-0.16
SAGA_For_001684,-1.5,0.42
SAGA_For_001694,-1.04,-0.16
SAGA_Scl_000001,-1.98,0
SAGA_Scl_000001,-1.95,0.12
SAGA_Scl_000001,-1.61,0.12
SAGA_Scl_000001,-2.14,
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.01,0.19
SAGA_Scl_000001,-2.13,
SAGA_Scl_000002,-1.66,0.02
SAGA_Scl_000002,-1.86,0.1
SAGA_Scl_000002,-1.6,0.03
SAGA_Scl_000002,-1.58,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.79,0.03
SAGA_Scl_000003,-1.56,0.07
SAGA_Scl_000003,-1.79,0.27
SAGA_Scl_000003,-1.77,0.18
SAGA_Scl_000003,-1.75,
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.76,0.23
SAGA_Scl_000004,-1.77,0.02
SAGA_Scl_000004,-1.77,-0.11
SAGA_Scl_000004,-1.8,0.03
SAGA_Scl_000004,-1.78,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.68,-0.16
SAGA_Scl_000005,-1.24,-0.1
SAGA_Scl_000005,-1.22,-0.1
SAGA_Scl_000005,-1.35,-0.09
SAGA_Scl_000005,-1.33,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.07,-0.24
SAGA_Scl_000006,-2.1,0.14
SAGA_Scl_000006,-2.03,0.04
SAGA_Scl_000006,-2.18,0.24
SAGA_Scl_000006,-2.17,
SAGA_Scl_000006,-2.16,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2,0.07
SAGA_Scl_000006,-2.15,
SAGA_Scl_000007,-0.97,-0.1
SAGA_Scl_000007,-0.82,-0.45
SAGA_Scl_000007,-0.79,-0.41
SAGA_Scl_000008,-1.72,0.21
SAGA_Scl_000008,-1.6,-0.02
SAGA_Scl_000008,-1.68,0.03
SAGA_Scl_000008,-1.66,
SAGA_Scl_000008,-1.68,
SAGA_Scl_000008,-1.46,-0.16
SAGA_Scl_000009,-1.2,-0.12
SAGA_Scl_000009,-1.2,-0.38
SAGA_Scl_000009,-0.92,-0.29
SAGA_Scl_000009,-0.9,
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.96,
SAGA_Scl_000011,-0.89,-0.49
SAGA_Scl_000011,-0.87,
SAGA_Scl_000011,-0.89,
SAGA_Scl_000012,-1.16,-0.21
SAGA_Scl_000012,-1.15,
SAGA_Scl_000012,-1.16,
SAGA_Scl_000013,-1.15,-0.01
SAGA_Scl_000013,-1.1,-0.22
SAGA_Scl_000013,-1.08,
SAGA_Scl_000013,-0.99,-0.36
SAGA_Scl_000014,-1.65,-0.51
SAGA_Scl_000014,-1.49,0.09
SAGA_Scl_000014,-1.47,
SAGA_Scl_000014,-1.1,
SAGA_Scl_000014,-1.25,-0.23
SAGA_Scl_000015,-2.35,0.24
SAGA_Scl_000015,-2.33,
SAGA_Scl_000015,-2.35,
SAGA_Scl_000016,-1.28,0.07
SAGA_Scl_000016,-1.39,-0.24
SAGA_Scl_000016,-1.13,
SAGA_Scl_000016,-1.15,
SAGA_Scl_000016,-1.12,-0.35
SAGA_Scl_000017,-1.39,0.06
SAGA_Scl_000017,-1.37,
SAGA_Scl_000017,-1.39,
SAGA_Scl_000018,-1.86,0.14
SAGA_Scl_000018,-1.84,
SAGA_Scl_000018,-1.86,
SAGA_Scl_000018,-1.73,
SAGA_Scl_000019,-1.65,0.04
SAGA_Scl_000019,-1.7,-0.07
SAGA_Scl_000019,-1.72,
SAGA_Scl_000019,-1.68,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000019,-1.57,-0.13
SAGA_Scl_000019,-1.7,
SAGA_Scl_000020,-1.01,0.03
SAGA_Scl_000020,-1.07,-0.13
SAGA_Scl_000020,-1.11,
SAGA_Scl_000020,-1.05,
SAGA_Scl_000020,-1.07,
SAGA_Scl_000020,-0.92,-0.6
SAGA_Scl_000020,-1.1,
SAGA_Scl_000021,-1.56,-0.15
SAGA_Scl_000021,-1.65,-0.09
SAGA_Scl_000021,-1.63,
SAGA_Scl_000021,-1.65,
SAGA_Scl_000021,-1.58,
SAGA_Scl_000022,-1.74,0.09
SAGA_Scl_000022,-1.93,0.08
SAGA_Scl_000022,-1.91,
SAGA_Scl_000022,-1.93,
SAGA_Scl_000022,-1.65,0.02
SAGA_Scl_000024,-1.83,0.19
SAGA_Scl_000024,-1.74,0.01
SAGA_Scl_000024,-2.03,
SAGA_Scl_000024,-1.72,
SAGA_Scl_000024,-1.74,
SAGA_Scl_000024,-1.98,0.34
SAGA_Scl_000024,-2.02,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,0.2
SAGA_Scl_000027,-1.18,-0.24
SAGA_Scl_000027,-1.16,
SAGA_Scl_000027,-1.18,
SAGA_Scl_000028,-2.16,-0.02
SAGA_Scl_000028,-2.04,0.22
SAGA_Scl_000028,-2.02,
SAGA_Scl_000028,-2.04,
SAGA_Scl_000028,-2.54,
SAGA_Scl_000028,-2.23,0.15
SAGA_Scl_000029,-1.45,0.01
SAGA_Scl_000029,-1.5,0.12
SAGA_Scl_000029,-1.57,
SAGA_Scl_000029,-1.48,
SAGA_Scl_000029,-1.5,
SAGA_Scl_000029,-1.41,-0.13
SAGA_Scl_000029,-1.55,
SAGA_Scl_000030,-1.12,-0.31
SAGA_Scl_000030,-1.07,-0.1
SAGA_Scl_000030,-1.25,
SAGA_Scl_000030,-1.05,
SAGA_Scl_000030,-1.07,
SAGA_Scl_000030,-1.08,-0.37
SAGA_Scl_000030,-1.24,
SAGA_Scl_000031,-1.96,0.03
SAGA_Scl_000031,-1.8,0.15
SAGA_Scl_000031,-1.89,
SAGA_Scl_000031,-1.78,
SAGA_Scl_000031,-1.8,
SAGA_Scl_000031,-1.81,-0.03
SAGA_Scl_000031,-1.88,
SAGA_Scl_000032,-1.47,-0.24
SAGA_Scl_000032,-1.45,
SAGA_Scl_000032,-1.47,
SAGA_Scl_000032,-1.49,
SAGA_Scl_000033,-1.9,0.25
SAGA_Scl_000033,-1.89,
SAGA_Scl_000033,-1.9,
SAGA_Scl_000034,-1.81,-0.07
SAGA_Scl_000034,-1.89,0.18
SAGA_Scl_000034,-1.87,
SAGA_Scl_000034,-1.89,
SAGA_Scl_000034,-1.83,-0.03
SAGA_Scl_000034,-1.84,
SAGA_Scl_000035,-2.35,0.28
SAGA_Scl_000035,-2.33,
SAGA_Scl_000035,-2.35,
SAGA_Scl_000035,-2.78,
SAGA_Scl_000036,-1.46,0.03
SAGA_Scl_000036,-1.44,
SAGA_Scl_000036,-1.46,
SAGA_Scl_000036,-1.62,
SAGA_Scl_000037,-0.97,-0.17
SAGA_Scl_000037,-1.08,-0.23
SAGA_Scl_000037,-1.06,
SAGA_Scl_000037,-1.07,
SAGA_Scl_000037,-1.08,
SAGA_Scl_000037,-0.85,-0.68
SAGA_Scl_000037,-1.05,
SAGA_Scl_000038,-2.01,0.02
SAGA_Scl_000038,-1.86,0.06
SAGA_Scl_000038,-1.84,
SAGA_Scl_000038,-1.86,
SAGA_Scl_000038,-2.15,
SAGA_Scl_000038,-2.17,
SAGA_Scl_000038,-1.97,0.06
SAGA_Scl_000038,-2.01,
SAGA_Scl_000039,-1.47,-0.59
SAGA_Scl_000039,-1.41,-0.21
SAGA_Scl_000039,-1.39,
SAGA_Scl_000039,-1.41,
SAGA_Scl_000039,-1.27,-0.77
SAGA_Scl_000039,-1.35,
SAGA_Scl_000040,-1.69,0.09
SAGA_Scl_000040,-1.67,
SAGA_Scl_000040,-1.69,
SAGA_Scl_000041,-2.16,0.23
SAGA_Scl_000041,-2.14,
SAGA_Scl_000041,-2.16,
SAGA_Scl_000042,-2.06,
SAGA_Scl_000042,-2.73,
SAGA_Scl_000042,-2.45,0.17
SAGA_Scl_000043,-2.21,0.08
SAGA_Scl_000043,-1.96,0.29
SAGA_Scl_000043,-2.43,
SAGA_Scl_000043,-1.94,
SAGA_Scl_000043,-1.96,
SAGA_Scl_000043,-2.26,0.16
SAGA_Scl_000043,-2.41,
SAGA_Scl_000044,-1.28,-0.02
SAGA_Scl_000044,-1.26,
SAGA_Scl_000044,-1.28,
SAGA_Scl_000045,-1.74,-0.17
SAGA_Scl_000045,-1.71,0.09
SAGA_Scl_000045,-1.84,
SAGA_Scl_000045,-1.69,
SAGA_Scl_000045,-1.71,
SAGA_Scl_000045,-1.92,
SAGA_Scl_000045,-1.68,-0.23
SAGA_Scl_000045,-1.83,
SAGA_Scl_000046,-1.17,-0.04
SAGA_Scl_000046,-1.32,-0.12
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.31,
SAGA_Scl_000046,-1.32,
SAGA_Scl_000046,-1.11,-0.28
SAGA_Scl_000046,-1.3,
SAGA_Scl_000047,-2.13,0.07
SAGA_Scl_000047,-2,0.21
SAGA_Scl_000047,-1.98,
SAGA_Scl_000047,-2,
SAGA_Scl_000047,-2.13,0.09
SAGA_Scl_000048,-1.17,-0.13
SAGA_Scl_000048,-1.15,
SAGA_Scl_000048,-1.17,
SAGA_Scl_000049,-1.23,-0.23
SAGA_Scl_000049,-0.93,-0.38
SAGA_Scl_000049,-1.19,
SAGA_Scl_000049,-0.91,
SAGA_Scl_000049,-0.93,
SAGA_Scl_000049,-0.96,-0.53
SAGA_Scl_000049,-1.17,
SAGA_Scl_000050,-1.62,0.09
SAGA_Scl_000050,-1.6,
SAGA_Scl_000050,-1.62,
SAGA_Scl_000052,-1.83,0.18
SAGA_Scl_000052,-1.82,
SAGA_Scl_000052,-1.83,
SAGA_Scl_000052,-2.12,
SAGA_Scl_000053,-1.48,0.06
SAGA_Scl_000053,-1.46,
SAGA_Scl_000053,-1.48,
SAGA_Scl_000054,-1.11,-0.3
SAGA_Scl_000054,-1.09,
SAGA_Scl_000054,-1.11,
SAGA_Scl_000055,-1.21,-0.2
SAGA_Scl_000055,-1.19,
SAGA_Scl_000055,-1.21,
SAGA_Scl_000056,-1.1,-0.24
SAGA_Scl_000056,-1.08,
SAGA_Scl_000056,-1.1,
SAGA_Scl_000057,-1.63,-0.31
SAGA_Scl_000057,-1.85,0.09
SAGA_Scl_000057,-1.67,
SAGA_Scl_000057,-1.83,
SAGA_Scl_000057,-1.85,
SAGA_Scl_000057,-1.46,-0.23
SAGA_Scl_000058,-2.44,-0.46
SAGA_Scl_000058,-2.1,
SAGA_Scl_000058,-2.83,
SAGA_Scl_000059,-1.97,0.24
SAGA_Scl_000059,-1.95,
SAGA_Scl_000059,-1.97,
SAGA_Scl_000060,-1.35,0.04
SAGA_Scl_000060,-1.33,-0.06
SAGA_Scl_000060,-1.43,
SAGA_Scl_000060,-1.31,
SAGA_Scl_000060,-1.33,
SAGA_Scl_000060,-1.24,-0.09
SAGA_Scl_000060,-1.42,
SAGA_Scl_000061,-1.22,-0.04
SAGA_Scl_000061,-1.33,-0.08
SAGA_Scl_000061,-1.31,
SAGA_Scl_000061,-1.33,
SAGA_Scl_000061,-1.05,-0.4
SAGA_Scl_000062,-1.3,0.02
SAGA_Scl_000062,-1.44,
SAGA_Scl_000062,-1.3,
SAGA_Scl_000062,-1.32,
SAGA_Scl_000062,-1.2,-0.16
SAGA_Scl_000062,-1.42,
SAGA_Scl_000064,-1.12,-0.13
SAGA_Scl_000064,-1.17,
SAGA_Scl_000064,-0.98,
SAGA_Scl_000064,-0.94,-0.46
SAGA_Scl_000064,-1.15,
SAGA_Scl_000065,-1.21,-0.26
SAGA_Scl_000065,-1.2,
SAGA_Scl_000065,-1.21,
SAGA_Scl_000065,-1.54,
SAGA_Scl_000066,-1.2,-0.12
SAGA_Scl_000066,-1.24,-0.06
SAGA_Scl_000066,-1.29,
SAGA_Scl_000066,-1.22,
SAGA_Scl_000066,-1.24,
SAGA_Scl_000066,-1.09,-0.24
SAGA_Scl_000066,-1.27,
SAGA_Scl_000067,-1.24,-0.19
SAGA_Scl_000067,-1.3,-0.16
SAGA_Scl_000067,-1.34,
SAGA_Scl_000067,-1.28,
SAGA_Scl_000067,-1.3,
SAGA_Scl_000067,-1.08,-0.36
SAGA_Scl_000067,-1.32,
SAGA_Scl_000068,-1.45,-0.2
SAGA_Scl_000068,-1.5,-0.16
SAGA_Scl_000068,-1.51,
SAGA_Scl_000068,-1.48,
SAGA_Scl_000068,-1.5,
SAGA_Scl_000068,-1.38,-0.52
SAGA_Scl_000068,-1.49,
SAGA_Scl_000069,-0.84,-0.59
SAGA_Scl_000069,-1.24,-0.02
SAGA_Scl_000069,-1.23,
SAGA_Scl_000069,-1.24,
SAGA_Scl_000069,-0.81,-0.63
SAGA_Scl_000070,-2.26,0.37
SAGA_Scl_000070,-2.24,
SAGA_Scl_000070,-2.26,
SAGA_Scl_000070,-2.66,
SAGA_Scl_000070,-2.09,
SAGA_Scl_000071,-1.38,-0.03
SAGA_Scl_000071,-1.36,
SAGA_Scl_000071,-1.38,
SAGA_Scl_000072,-1.54,0.01
SAGA_Scl_000072,-1.57,-0.02
SAGA_Scl_000072,-1.66,
SAGA_Scl_000072,-1.55,
SAGA_Scl_000072,-1.57,
SAGA_Scl_000072,-1.78,
SAGA_Scl_000072,-1.51,-0.04
SAGA_Scl_000072,-1.65,
SAGA_Scl_000073,-1.1,-0.14
SAGA_Scl_000073,-1,-0.19
SAGA_Scl_000073,-1.21,
SAGA_Scl_000073,-0.98,
SAGA_Scl_000073,-1,
SAGA_Scl_000073,-1.45,
SAGA_Scl_000073,-0.99,-0.25
SAGA_Scl_000073,-1.19,
SAGA_Scl_000074,-1.41,0.01
SAGA_Scl_000074,-1.53,0
SAGA_Scl_000074,-1.51,
SAGA_Scl_000074,-1.53,
SAGA_Scl_000074,-1.39,-0.06
SAGA_Scl_000075,-1.56,-0.01
SAGA_Scl_000075,-1.54,
SAGA_Scl_000075,-1.41,
SAGA_Scl_000076,-1.18,-0.31
SAGA_Scl_000076,-1.16,
SAGA_Scl_000076,-1.18,
SAGA_Scl_000077,-1.64,-0.05
SAGA_Scl_000077,-1.68,0.04
SAGA_Scl_000077,-1.65,
SAGA_Scl_000077,-1.68,
SAGA_Scl_000077,-1.6,-0.13
SAGA_Scl_000078,-1.4,0
SAGA_Scl_000078,-1.49,0
SAGA_Scl_000078,-1.47,
SAGA_Scl_000078,-1.49,
SAGA_Scl_000078,-1.39,-0.03
SAGA_Scl_000079,-1.81,0.13
SAGA_Scl_000079,-1.79,
SAGA_Scl_000079,-1.81,
SAGA_Scl_000080,-1.21,-0.01
SAGA_Scl_000080,-1.24,-0.17
SAGA_Scl_000080,-1.22,
SAGA_Scl_000080,-1.24,
SAGA_Scl_000080,-1.04,-0.27
SAGA_Scl_000082,-1.31,-0.1
SAGA_Scl_000082,-1.16,-0.25
SAGA_Scl_000082,-1.14,
SAGA_Scl_000082,-1.16,
SAGA_Scl_000082,-1.19,-0.35
SAGA_Scl_000083,-2.47,0.21
SAGA_Scl_000083,-2.41,0.35
SAGA_Scl_000083,-2.39,
SAGA_Scl_000083,-2.41,
SAGA_Scl_000083,-2.64,
SAGA_Scl_000083,-2.49,0.27
SAGA_Scl_000084,-1.56,-0.07
SAGA_Scl_000084,-1.54,
SAGA_Scl_000084,-1.56,
SAGA_Scl_000085,-1.22,-0.32
SAGA_Scl_000085,-1.19,
SAGA_Scl_000085,-1.22,
SAGA_Scl_000085,-1.07,-0.53
SAGA_Scl_000086,-2.31,0.27
SAGA_Scl_000086,-2.11,0.27
SAGA_Scl_000086,-2.48,
SAGA_Scl_000086,-2.09,
SAGA_Scl_000086,-2.11,
SAGA_Scl_000086,-2.34,0.27
SAGA_Scl_000086,-2.46,
SAGA_Scl_000087,-1.77,-0.04
SAGA_Scl_000087,-1.75,
SAGA_Scl_000087,-1.77,
SAGA_Scl_000088,-1.37,-0.11
SAGA_Scl_000088,-1.53,-0.18
SAGA_Scl_000088,-1.51,
SAGA_Scl_000088,-1.53,
SAGA_Scl_000088,-1.23,-0.43
SAGA_Scl_000089,-1.15,-0.24
SAGA_Scl_000089,-1.13,
SAGA_Scl_000089,-1.15,
SAGA_Scl_000090,-1.24,-0.12
SAGA_Scl_000090,-1.32,-0.14
SAGA_Scl_000090,-1.3,
SAGA_Scl_000090,-1.32,
SAGA_Scl_000090,-1.19,-0.23
SAGA_Scl_000091,-2.27,0.31
SAGA_Scl_000091,-2.25,
SAGA_Scl_000091,-2.27,
SAGA_Scl_000092,-1.9,0.21
SAGA_Scl_000092,-1.88,
SAGA_Scl_000092,-1.9,
SAGA_Scl_000093,-1.65,0.2
SAGA_Scl_000093,-1.63,
SAGA_Scl_000093,-1.65,
SAGA_Scl_000095,-1.41,-0.05
SAGA_Scl_000095,-1.39,
SAGA_Scl_000095,-1.41,
SAGA_Scl_000096,-2.52,0.08
SAGA_Scl_000096,-2.62,0.18
SAGA_Scl_000096,-2.71,
SAGA_Scl_000097,-1.55,0.86
SAGA_Scl_000097,-1.73,0.54
SAGA_Scl_000098,-1.89,-0.17
SAGA_Scl_000098,-1.78,-0.3
SAGA_Scl_000098,-1.93,
SAGA_Scl_000099,-1.78,-0.11
SAGA_Scl_000099,-1.95,
SAGA_Scl_000099,-2.11,
SAGA_Scl_000099,-1.77,-0.03
SAGA_Scl_000099,-1.94,
SAGA_Scl_000100,-2.02,0.31
SAGA_Scl_000100,-1.72,
SAGA_Scl_000100,-2.05,0.38
SAGA_Scl_000101,-2.57,0.22
SAGA_Scl_000101,-2.77,
SAGA_Scl_000101,-2.55,0.14
SAGA_Scl_000101,-2.76,
SAGA_Scl_000102,-1.18,-0.15
SAGA_Scl_000102,-1.26,
SAGA_Scl_000102,-1.06,-0.24
SAGA_Scl_000102,-1.25,
SAGA_Scl_000103,-1.92,-0.02
SAGA_Scl_000103,-1.9,0.13
SAGA_Scl_000104,-1.02,-0.02
SAGA_Scl_000104,-1.07,-0.1
SAGA_Scl_000106,-1.35,-0.12
SAGA_Scl_000106,-1.44,
SAGA_Scl_000106,-1.23,-0.26
SAGA_Scl_000106,-1.43,
SAGA_Scl_000107,-1.84,-0.03
SAGA_Scl_000107,-1.92,
SAGA_Scl_000107,-1.83,-0.03
SAGA_Scl_000107,-1.91,
SAGA_Scl_000108,-1.19,-0.44
SAGA_Scl_000108,-1.38,
SAGA_Scl_000108,-1.16,
SAGA_Scl_000109,-1.97,0.42
SAGA_Scl_000109,-2.21,0.74
SAGA_Scl_000110,-2.14,0.15
SAGA_Scl_000110,-2.28,
SAGA_Scl_000110,-2.13,0.09
SAGA_Scl_000111,-2.18,0.15
SAGA_Scl_000111,-2.32,
SAGA_Scl_000111,-2.19,0.17
SAGA_Scl_000111,-2.31,
SAGA_Scl_000112,-1.61,0.05
SAGA_Scl_000112,-1.76,
SAGA_Scl_000112,-1.58,-0.05
SAGA_Scl_000112,-1.74,
SAGA_Scl_000113,-0.37,0.2
SAGA_Scl_000114,-1.68,0.25
SAGA_Scl_000114,-1.76,
SAGA_Scl_000114,-1.61,0.11
SAGA_Scl_000115,-1.77,-0.15
SAGA_Scl_000115,-1.84,-0.07
SAGA_Scl_000116,-1.42,0.46
SAGA_Scl_000116,-1.25,
SAGA_Scl_000116,-1.22,
SAGA_Scl_000117,-1.44,0.03
SAGA_Scl_000117,-1.59,
SAGA_Scl_000117,-1.36,-0.13
SAGA_Scl_000117,-1.57,
SAGA_Scl_000119,-1.36,-0.21
SAGA_Scl_000119,-1.27,-0.45
SAGA_Scl_000120,-1.41,-0.02
SAGA_Scl_000120,-1.54,
SAGA_Scl_000120,-1.34,-0.1
SAGA_Scl_000121,-1.85,0.67
SAGA_Scl_000121,-1.92,0.13
SAGA_Scl_000122,-1.1,-0.27
SAGA_Scl_000122,-1.23,
SAGA_Scl_000122,-1.05,-0.24
SAGA_Scl_000122,-1.22,
SAGA_Scl_000123,-1.46,0.04
SAGA_Scl_000123,-1.55,
SAGA_Scl_000123,-1.29,-0.13
SAGA_Scl_000123,-1.53,
SAGA_Scl_000124,-1.57,0.15
SAGA_Scl_000124,-1.6,0.07
SAGA_Scl_000125,-1.83,0.18
SAGA_Scl_000125,-2.01,
SAGA_Scl_000125,-1.82,0.12
SAGA_Scl_000125,-1.99,
SAGA_Scl_000126,-1.21,0.05
SAGA_Scl_000126,-1.31,
SAGA_Scl_000126,-1.1,-0.17
SAGA_Scl_000126,-1.29,
SAGA_Scl_000127,-1.34,-0.1
SAGA_Scl_000127,-1.56,
SAGA_Scl_000127,-1.34,-0.17
SAGA_Scl_000127,-1.54,
SAGA_Scl_000128,-2.99,0.1
SAGA_Scl_000128,-2.28,0.33
