# Object,[Fe/H],[Ti/Fe]
SAGA_For_000241,-1.07,
SAGA_For_000243,-0.3,-0.25
SAGA_For_000243,-0.92,
SAGA_For_000247,-2.09,0.76
SAGA_For_000247,-1.91,
SAGA_For_000271,-0.67,-0.51
SAGA_For_000271,-0.91,
SAGA_For_000283,-2.31,0.18
SAGA_For_000283,,
SAGA_For_000295,-0.9,-0.2
SAGA_For_000295,-0.86,
SAGA_For_000301,-0.7,-0.28
SAGA_For_000301,-0.82,
SAGA_For_000305,-0.26,-0.93
SAGA_For_000305,-0.93,
SAGA_For_000306,-0.82,-0.41
SAGA_For_000306,-0.86,
SAGA_For_000317,-1.58,0.08
SAGA_For_000317,-1.41,
SAGA_For_000318,-0.44,-0.28
SAGA_For_000318,-0.64,
SAGA_For_000319,-1.68,-0.17
SAGA_For_000319,-1.62,
SAGA_For_000322,-0.62,-0.87
SAGA_For_000322,-0.97,
SAGA_For_000323,-0.74,-0.49
SAGA_For_000323,-0.85,
SAGA_For_000331,-0.88,-0.72
SAGA_For_000331,-1.04,
SAGA_For_000346,-0.88,-0.29
SAGA_For_000346,-0.95,
SAGA_For_000354,-0.73,0.01
SAGA_For_000354,-0.92,
SAGA_For_000362,-0.64,-0.38
SAGA_For_000362,-0.64,
SAGA_For_000378,-0.82,
SAGA_For_000378,-0.82,-0.16
SAGA_For_000378,-0.74,
SAGA_For_000381,-0.64,
SAGA_For_000381,-0.67,0.19
SAGA_For_000381,-0.82,
SAGA_For_000390,-0.88,-0.29
SAGA_For_000390,-0.61,
SAGA_For_000397,-0.7,-0.27
SAGA_For_000397,-0.76,
SAGA_For_000399,-0.63,0.3
SAGA_For_000399,-0.49,
SAGA_For_000407,-1.53,
SAGA_For_000407,-1.52,-0.15
SAGA_For_000407,-1.75,
SAGA_For_000415,-0.72,
SAGA_For_000415,-0.73,0.02
SAGA_For_000415,-0.62,
SAGA_For_000415,-0.77,-0.52
SAGA_For_000419,-0.54,
SAGA_For_000419,-0.61,-0.65
SAGA_For_000421,-0.71,
SAGA_For_000421,-0.69,-0.13
SAGA_For_000421,-0.65,
SAGA_For_000423,-0.62,
SAGA_For_000423,-1.46,-0.03
SAGA_For_000424,-0.59,
SAGA_For_000424,-0.75,-0.11
SAGA_For_000424,-0.77,
SAGA_For_000425,-0.85,
SAGA_For_000425,-0.95,0.05
SAGA_For_000425,-0.79,
SAGA_For_000429,-0.58,
SAGA_For_000429,-0.49,-0.59
SAGA_For_000432,-0.58,
SAGA_For_000432,-0.73,-0.16
SAGA_For_000435,-0.77,
SAGA_For_000435,-0.99,-0.53
SAGA_For_000437,-0.5,
