# Object,[Fe/H],[Na/Fe]
SAGA_For_000424,-0.77,
SAGA_For_000425,-0.85,
SAGA_For_000425,-0.95,-0.42
SAGA_For_000425,-0.79,
SAGA_For_000440,-0.88,
SAGA_For_000440,-0.91,-0.46
SAGA_For_000440,-0.89,
SAGA_For_000453,-0.76,
SAGA_For_000453,-0.86,-0.42
SAGA_For_000453,-0.41,
SAGA_For_000469,-0.86,
SAGA_For_000469,-0.89,-0.85
SAGA_For_000469,-0.91,
SAGA_For_000474,-1,-0.39
SAGA_For_000474,-0.93,
SAGA_For_000475,-0.99,
SAGA_For_000475,-0.97,-0.52
SAGA_For_000475,-1.03,
SAGA_For_000478,-0.86,
SAGA_For_000478,-0.87,-0.72
SAGA_For_000478,-1.02,
SAGA_For_000481,-0.69,
SAGA_For_000481,-0.78,-0.38
SAGA_For_000481,-0.47,
SAGA_For_000659,-3.66,0.06
SAGA_For_000659,-2.61,
SAGA_For_000690,-0.74,
SAGA_For_000690,-0.73,-0.47
SAGA_For_000691,-0.86,
SAGA_For_000691,-0.86,-0.55
SAGA_For_000692,-0.9,
SAGA_For_000692,-0.89,-0.48
SAGA_For_000693,-0.87,
SAGA_For_000693,-0.86,-0.78
SAGA_For_000693,-0.98,
SAGA_For_000694,-0.8,
SAGA_For_000694,-0.83,-0.51
SAGA_For_000694,-0.8,
SAGA_For_000695,-0.88,
SAGA_For_000695,-0.82,-0.82
SAGA_For_000696,-0.85,
SAGA_For_000696,-0.89,-0.61
SAGA_For_000696,-0.84,
SAGA_For_000697,-0.72,
SAGA_For_000697,-0.72,-0.34
SAGA_For_000699,-0.95,
SAGA_For_000699,-0.96,-0.38
SAGA_For_000700,-0.93,
SAGA_For_000700,-0.95,-0.86
SAGA_For_000701,-0.79,
SAGA_For_000701,-0.79,-0.69
SAGA_For_000740,-0.68,-0.47
SAGA_For_000780,-0.94,-0.51
SAGA_For_000780,-0.7,
SAGA_For_000784,-0.87,-0.51
SAGA_For_000796,-0.74,-0.48
SAGA_For_000847,-0.9,-0.42
SAGA_For_000925,-0.78,-0.33
SAGA_For_000941,-0.81,-0.53
SAGA_For_000941,-0.82,
SAGA_For_000947,-0.87,-0.4
SAGA_For_000963,-0.78,-0.59
SAGA_For_000975,-0.58,-0.64
SAGA_For_000975,-0.47,
SAGA_For_000994,-1.38,-0.3
SAGA_For_001032,-0.97,-0.65
SAGA_For_001044,-0.66,-0.53
SAGA_For_001047,-0.88,-0.77
SAGA_For_001050,-1.03,
SAGA_For_001050,-0.87,-0.7
SAGA_For_001050,-0.8,
SAGA_For_001050,-1.03,
SAGA_For_001086,-0.92,-0.63
SAGA_For_001093,-0.61,-0.53
SAGA_For_001093,-0.44,
SAGA_For_001102,-0.62,-0.7
SAGA_For_001154,-0.88,-0.38
SAGA_For_001164,-0.93,-0.52
SAGA_For_001173,-0.9,
SAGA_For_001173,-0.76,-0.51
SAGA_For_001173,-0.62,
SAGA_For_001173,-0.89,
SAGA_For_001177,-0.7,-0.4
SAGA_For_001177,-0.49,
SAGA_For_001182,-0.85,-0.56
SAGA_For_001186,-1.12,
SAGA_For_001186,-0.83,-0.47
SAGA_For_001186,-0.88,
SAGA_For_001214,-0.81,-0.77
SAGA_For_001214,-0.95,
SAGA_For_001223,-0.76,-0.77
SAGA_For_001276,-0.57,-0.56
SAGA_For_001302,-0.88,-0.37
SAGA_For_001307,-0.92,-0.54
SAGA_For_001323,-0.96,-0.7
SAGA_For_001338,-0.75,-0.68
SAGA_For_001396,-0.64,-0.54
SAGA_For_001433,-2.55,1.59
SAGA_For_001456,-0.81,-0.65
SAGA_For_001502,-0.96,-0.71
SAGA_For_001507,-0.85,-0.88
SAGA_For_001508,-0.97,-0.16
SAGA_For_001529,-0.97,-0.33
SAGA_For_001530,-0.8,-0.74
SAGA_For_001539,-0.54,-0.9
SAGA_For_001554,-0.7,-0.77
SAGA_For_001561,-0.48,-0.92
SAGA_For_001576,-1.15,-0.64
SAGA_Scl_000001,-1.98,-0.07
SAGA_Scl_000001,-1.95,
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.14,
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.01,
SAGA_Scl_000001,-2.13,
SAGA_Scl_000002,-1.66,-0.24
SAGA_Scl_000002,-1.86,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.58,
SAGA_Scl_000002,-1.6,
SAGA_Scl_000002,-1.79,
SAGA_Scl_000003,-1.56,-0.46
SAGA_Scl_000003,-1.79,
