Name,ecc_mean,rperi_mean(kpc)
2MASS J12351734+0945333,0.340010332,6.456730146
2MASS J12405721-4051430,0.950732606,0.250062692
2MASS J12503987-0307485,0.432166134,7.750095477
2MASS J12535742-3801355,0.625227265,7.357443218
2MASS J12571667-4335318,0.53918,2.378597167
HE 1256-0228,0.483570208,3.057611432
2MASS J12591462-7049592,0.887042799,0.448772925
BPS BS 16929-005,0.518205413,2.9441326
2MASS J13052137-1137220,0.757551493,1.445781609
2MASS J13101305-3342369,0.394985968,3.184801404
BPS CS 22877-015,0.780880911,0.973732585
HD 115444,0.770029027,1.376513509
2MASS J13164824-2743351,0.939554614,0.502305349
BPS BS 16033-081,0.465835158,3.338612404
2MASS J13214178-4320055,0.956483728,0.171333572
2MASS J13254554-1747547,0.715660583,2.278046198
2MASS J13261792-0945176,0.695252028,1.407091736
2MASS J13315746-1929446,0.38219152,3.688235526
HD 118055,0.405658542,4.038357632
SMSS J133532.32-210632.9,0.589282475,1.930184064
2MASS J13374885-0826176,0.482422956,2.909875352
2MASS J13425404-0717005,0.58844329,7.821670771
HD 119516,0.475570323,6.615756392
BPS BS 16089-013,0.742503898,2.225669425
2MASS J13494713-7423395,0.843856176,0.582071828
2MASS J13511539-7340363,0.898083436,1.017003846
2MASS J13524835+1254216,0.975127558,0.190337714
2MASS J14004919+4551581,0.962251571,1.105224383
2MASS J14032900-5250429,0.797939604,0.888475063
2MASS J14043762+0011117,0.826973416,1.031267199
HD 122956,0.826586097,0.758216141
2MASS J14101587-0343553,0.631774723,2.111248827
2MASS J14155955-3219255,0.467164934,4.526428971
2MASS J14180866-2842077,0.85039521,0.735040133
2MASS J14191395-0844410,0.435433129,3.678642361
BD+01:2916,0.853627961,0.631882266
2MASS J14232679-2834200,0.459359772,2.549478071
2MASS J14234371-4025526,0.764769217,3.520829101
BD+08:2856,0.599151742,3.100507421
2MASS J14301385-2317388,0.703997887,4.778100724
BD+18:2890,0.830070016,1.082415578
HE 1429-0347,0.528995749,4.324700098
2MASS J14325334-4125494,0.839642414,2.559394383
HE 1430+0053,0.627594718,2.053491999
2MASS J14354680-1124122,0.130672665,5.851182127
BPS BS 16083-172,0.734759102,1.569011844
2MASS J14543792+0830379,0.78073496,0.865400464
2MASS J14590234-0916105,0.872015153,1.133167295
2MASS J14592981-3852558,0.410506964,2.864913843
2MASS J15002498-0613374,0.411255742,5.332645922
2MASS J15042611-2231523,0.458926311,3.513871853
2MASS J15062866-1428038,0.311987471,4.179093447
BD+30:2611,0.426058428,7.64978642
2MASS J15075699-0659593,0.641575506,2.269997358
2MASS J15083385-1459166,0.689370637,1.41032567
HD 134440,0.816708127,4.64085639
2MASS J15111672+0025252,0.309822947,4.528941674
HD 135148,0.934308087,0.745817579
2MASS J15133549-1244339,0.572488232,1.811718469
BPS CS 30306-132,0.463712997,3.302955942
2MASS J15155734-1054220,0.704410365,1.885098441
2MASS J15204531-1742486,0.599663053,1.887018223
2MASS J15211026-0607566,0.532920523,2.719904988
2MASS J15213995-3538094,0.681894765,6.168195138
2MASS J15260106-0911388,0.452246549,5.497492065
2MASS J15271353-2336177,0.611582374,2.001607257
2MASS J15293404-3906241,0.369189796,2.622799907
2MASS J15383085-1804242,0.703373376,1.312479465
SMSS J155430.57-263904.8,0.798538087,2.691431632
2MASS J15582962-1224344,0.170168859,4.83734972
2MASS J16024498-1521016,0.3458972,4.618827777
BD+42:2667,0.962406951,0.17406489
SMSS J160447.75-293146.7,0.784901702,0.65589739
2MASS J16095117-0941174,0.582396541,2.090770144
2MASS J16122832-0848083,0.407954017,2.757815742
2MASS J16163560-0401148,0.595145317,2.324695947
2MASS J16285613-1014576,0.302003058,4.524971752
BD+09:3223,0.975362651,0.150622127
HD 149414,0.553889644,2.578479171
BPS CS 22878-121,0.39232339,5.315185208
SMSS J165023.82-252948.7,0.586050378,3.186802526
2MASS J16592172-6827199,0.846097379,5.364187889
2MASS J17043634-6219457,0.605018455,1.781525998
2MASS J17093199-6027271,0.767885642,2.699736598
2MASS J17124284-5211479,0.485997711,3.723927076
2MASS J17131974-7113010,0.262978536,3.815285304
2MASS J17163340-7009028,0.203458173,4.5274927
2MASS J17225742-7123000,0.436823436,5.440547409
BD+17:3248,0.953880224,0.189460529
2MASS J17360008-5145303,0.55036643,2.770296872
2MASS J17383643-5358288,0.387400387,2.831949751
2MASS J17400682-6102129,0.473671447,2.954350841
2MASS J17414840-5340354,0.47354443,2.222877858
2MASS J17435113-5359333,0.420757962,2.576861811
2MASS J17541561-5148268,0.873960688,0.398740978
G 154-34,0.802891762,1.136510788
SMSS J175738.37-454823.5,0.132007845,2.084328641
2MASS J18024226-4404426,0.902633808,0.566466504
2MASS J18050641-4907579,0.759868414,0.868547913
2MASS J18272347-5133001,0.789892923,0.949394982
2MASS J18285086-3434203,0.665560018,0.840916718
2MASS J18294122-4504000,0.468698262,2.122721999
RAVE J183013.5-455510,0.11956916,5.180787396
SMSS J183128.71-341018.4,0.342563098,1.840465317
2MASS J18362318-6428124,0.159203672,4.646631885
2MASS J18363613-7136597,0.262477911,4.466438422
SMSS J183647.89-274333.1,0.898410459,0.552840522
HD 175305,0.405068613,7.907825494
2MASS J18562774-7251331,0.941496515,0.307186347
2MASS J19014952-4844359,0.904555393,0.310560429
2MASS J19050116-1949280,0.725865523,1.442780784
SMSS J190911.03-213207.5,0.91322778,0.193441076
2MASS J19092677-5140208,0.748762786,1.880274806
SMSS J190931.13-214053.9,0.337455008,2.406952405
HD 178443,0.962551152,0.383980991
HD 179626,0.986341151,0.062888331
2MASS J19161821-5544454,0.349448509,2.653711667
2MASS J19192768-5959140,0.88662966,1.076783381
2MASS J19215077-4452545,0.269268253,4.21603107
2MASS J19232518-5833410,0.949179275,0.218555901
2MASS J19232941-4425432,0.700560917,2.319017339
BPS CS 22896-055,0.889949018,0.646925362
2MASS J19310426-3707397,0.848599377,0.418117336
2MASS J19345326-3236567,0.983561608,0.08576558
SMSS J193617.38-790231.4,0.712064395,4.227417893
BPS CS 22896-154,0.383163073,2.780562165
2MASS J19445483-4039459,0.533503941,2.24075532
2MASS J19451414-1729269,0.698470712,1.832431531
2MASS J19552158-4613569,0.8722372,0.497351543
2MASS J19563822-4054235,0.609945198,5.274386454
Gaia DR2 2233912206910720000,0.8137778,8.217240639
2MASS J19584033+0430396,0.767196985,5.39107285
SMSS J195931.70-643529.3,0.340447752,5.072140737
2MASS J20000364-3301351,0.783375211,0.76895463
2MASS J20005766-2541488,0.774128227,1.311439041
2MASS J20050670-3057445,0.615633334,2.50467104
2MASS J20080083-2759265,0.767428295,0.750950056
2MASS J20093393-3410273,0.707295187,2.307963631
2MASS J20102782-0826556,0.88107705,0.771959414
2MASS J20103193-3558546,0.807625871,0.788629661
2MASS J20194310-3158163,0.892367012,0.514898393
BPS CS 22943-132,0.282849558,5.261338086
