JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Si/Fe
1879,ROE14b,HD26169,HD_26169, -2.8,0.77
1907,ROE14b,HD338529,HD_338529, -2.6,0.46
1909,ROE14b,HD340279,HD_340279, -3.07,0.23
1953,ROE14b,HD64090,HD_64090, -2.03,0.31
2023,YON13,HE0228-4047,HE_0228-4047, -3.75,0.35
2024,YON13,HE0231-6025,HE_0231-6025, -3.1,0.02
2025,YON13,HE0253-1331,HE_0253-1331, -3.01,0.07
2027,YON13,HE0314-1739,HE_0314-1739, -2.86, -0.1
2029,YON13,HE0355-3728,HE_0355-3728, -3.41,0.09
2037,YON13,HE1055+0104,HE_1055+0104, -2.87,0.46
2039,YON13,HE1142-1422,HE_1142-1422, -2.84, -0.12
2041,YON13,HE1204-0744,HE_1204-0744, -2.71, -0.34
2042,YON13,HE1207-3108,HE_1207-3108, -2.7,0.16
2045,YON13,HE1320-2952,HE_1320-2952, -3.69,0.68
2050,YON13,HE1402-0523,HE_1402-0523, -3.17,0.1
2051,YON13,HE1506-0113,HE_1506-0113, -3.54,0.5
2052,YON13,HE2020-5228,HE_2020-5228, -2.93,0.1
2053,YON13,HE2032-5633,HE_2032-5633, -3.63,0.33
2054,YON13,HE2047-5612,HE_2047-5612, -3.14,0.05
2055,YON13,HE2135-1924,HE_2135-1924, -3.31, -0.04
2056,YON13,HE2136-6030,HE_2136-6030, -2.88,1.21
2058,YON13,HE2139-5432,HE_2139-5432, -4.02,1.0
2059,YON13,HE2141-0726,HE_2141-0726, -2.72, -0.05
2066,ROE14b,CS22948-066,HE_2141-3741, -3.5,0.53
2069,YON13,HE2142-5656,HE_2142-5656, -2.87,0.35
2076,YON13,HE2246-2410,HE_2246-2410, -2.96,0.02
2077,YON13,HE2247-7400,HE_2247-7400, -2.87,0.8
2148,ROE14b,G206-34,Ross_711, -3.17,0.45
2168,ROE14b,HE0938+0114,Ross_889, -3.09,0.38
2172,ROE14b,CS29514-018,SB_467, -2.84,0.32
2176,ROE14b,CS29499-060,SB_966, -2.79,0.25
2538,ROE14b,CS22943-095,TYC_8406-355-1, -2.52,0.68
2551,ROE14b,CS22953-037,UCAC2_5736774, -3.21,0.21
2695,ROE14b,CS22886-013,V*_FV_Aqr, -2.58,0.32
2709,ROE14b,CS30312-062,V*_V456_Ser, -2.64,0.13
2714,ROE14b,G188-30,Wolf_1143, -2.05,0.29
2728,ROE14b,G64-12,Wolf_1492, -3.58,0.39
2731,ROE14b,G199-66,Wolf_481, -2.14,0.44
