v_x(km/s),v_y(km/s),v_z(km/s)
-257.4149331,257.6566351,-106.9873219
200.0503926,140.953984,213.9043406
75.89844514,15.48012457,-266.53614
43.03191208,-39.28466887,36.30170296
-22.01027081,-10.06351667,-24.43435632
-88.6218918,82.24587083,-30.75949375
-162.9496925,163.0201479,-18.15321686
70.28854185,68.71120338,96.12361506
141.1058295,-124.5076685,-6.343189672
191.558978,-212.3236899,81.61256401
-187.6118066,-30.14205595,-72.05574897
-136.6374708,-130.5724211,-246.791655
191.1395739,-182.5992107,91.27583329
85.06682769,-65.14146004,73.30755085
28.53902208,16.74949824,-277.0263899
88.03158225,2.455336518,-154.1105282
120.7548237,57.08077263,78.74671936
-30.73145099,20.38730726,38.47906659
55.92579262,36.47534325,10.57393263
-28.47015019,-28.70815453,-70.58660577
-126.4697535,28.00412302,-29.44041107
-212.7032898,-26.3895432,-77.28866057
90.73224423,-79.84111194,59.36766842
125.0594818,67.30772702,81.04021043
16.2800454,-8.347915762,71.10893236
-168.9635364,155.2921477,50.20840109
-195.1239234,-67.66289821,-76.30683655
111.5478407,111.2007052,-3.122525475
-74.46245082,69.99175142,26.70130068
-145.4338402,-35.00427631,35.46326985
56.91316291,-34.25467813,104.1345061
182.4144899,-111.1882591,149.3522415
-30.79199787,-12.46283051,-51.36843794
49.13570004,35.89345372,-31.12735798
-84.54432575,17.03001017,-79.69736802
-20.92263453,17.05546728,-132.2164319
94.30393958,-38.58761507,108.7911338
-31.70732897,-25.75337753,-66.44659302
-95.85239451,-89.89832776,192.6519334
-84.29265863,16.89310123,112.8652935
-52.30647694,-40.93811483,229.9261683
-57.08114864,46.45025881,-78.53036469
-88.41072481,-4.645079126,69.93585551
-45.83691619,32.940312,-175.7606828
-78.67462557,-73.44826216,-23.78575317
-23.91914549,-14.72230193,-35.75509192
-109.887376,77.19076948,-74.87004765
-125.8366257,-85.47304158,47.13501771
-192.035277,-190.7997734,-63.31513244
-83.74054982,75.67224634,48.83859083
-60.74854786,48.16611812,-122.0444917
-23.69656573,-5.413888434,46.61421415
74.39666023,-13.84896603,-15.9663855
-182.5303385,-180.4220631,-28.57270654
-70.41009371,71.96829246,125.5854056
62.43869274,-36.62430498,-127.691237
103.3382279,-33.40798279,97.72105376
-5.131277379,-2.087976225,103.3927133
-65.07373106,-37.2211382,73.30668289
215.3265429,-215.7879056,-4.735304961
195.7985392,43.53156049,158.6817128
14.16525274,6.623207457,27.44017486
70.25531003,-18.33922168,95.06218659
-288.7992763,189.3103645,-35.00481047
21.46507031,-5.630442788,-12.12561082
-34.1490767,-34.56527428,-72.13769394
181.2342738,66.31886867,394.231912
129.0729717,-138.4430679,-17.38367737
204.4888289,63.77025284,51.60240448
-111.6210637,-49.78825859,-90.86312358
151.1534304,72.16391621,59.28660595
-236.2848905,218.8527344,143.7423325
-282.2309494,212.7106773,-35.45838648
-256.7129558,225.5467802,54.7147358
28.26785263,28.22578689,-51.98359868
-0.469861559,0.415786944,-95.35324401
-80.32759571,-34.37432329,-138.6049531
142.7849101,-113.0012012,-83.21436518
-186.857978,-12.3952755,102.2682575
-296.4799777,218.1656395,116.5398705
130.0986616,136.0605374,-49.16078593
-291.0933487,-225.3561965,26.05075588
-67.782581,-63.89267208,15.36986365
125.3435722,-125.9382759,30.46325134
-119.2556549,-80.08233297,128.9791965
-130.7464383,-128.2527325,-108.2769602
-78.61492084,-72.813582,-53.47692249
-129.9558256,-105.0772464,224.2660878
-0.034233521,0.028996248,-79.82686963
63.95433527,41.10679677,123.5975558
-52.84960385,-56.93106048,-105.6916632
-103.0020932,104.1337579,39.77437021
58.61189522,36.84286799,-39.95258309
-201.1480551,-24.43015889,49.99343916
1.35695105,1.237958655,-2.736839075
-268.0562488,141.7523156,3.362032757
-66.57423779,-60.73189594,-41.27432938
122.9360467,-67.2865696,-32.67096145
-98.83256452,-39.43752255,-0.321786268
85.1674227,-51.21118955,-14.54828772
-29.98502434,20.52758531,-220.5334867
69.78284045,8.53144382,133.7617141
-37.86991294,-18.41220078,1.692990857
-12.41935894,9.422041955,-26.42940386
293.5273008,245.8439764,-19.13399345
-79.94164132,31.24103887,-19.74516367
71.19582823,-59.0406203,58.31041095
155.5379986,-170.4561329,2.017407116
66.42484184,-68.00597845,-126.0261868
41.04919682,-41.27203168,123.2988045
-79.7569461,25.35603338,-107.2477056
-102.9520666,-63.38527927,47.2832304
106.6235669,-89.89293995,65.10099106
1.060265192,0.151576452,35.48221003
-158.2813423,-69.95866938,0.588033126
-326.0845754,-193.2235209,107.3926037
-72.90024071,35.40057652,-62.21060957
-216.9659935,217.0278535,7.818157614
-22.06195768,-18.0924074,72.81450269
-232.8937472,206.7172983,-2.704012879
-305.477928,238.6469204,79.17714577
42.51593059,-44.38791625,-2.1731724
